Name,years.appearing,count.male,count.female,prob.gender,obs.male,est.male,upper,lower
Ea,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Eabha,11,0,238,Female,0,0,1.00324503508108,0.980870761939721
Eachann,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Eadaoin,15,0,80,Female,0,0,1.00911598770442,0.945065882760049
Eaden,3,7,3,Unknown,0.7,0.7,0.896661582077575,0.39232529797727
Eadie,14,0,257,Female,0,0,1.003011686707,0.982261134423268
Eady,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Eaghan,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Eala,1,0,1,Female,0,0,1.03904982889782,0.167499485479413
Ealaf,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Ealasaid,1,0,1,Female,0,0,1.03904982889782,0.167499485479413
Ealf,1,0,1,Female,0,0,1.03904982889782,0.167499485479413
Ealidh,1,0,1,Female,0,0,1.03904982889782,0.167499485479413
Eamie,1,0,1,Female,0,0,1.03904982889782,0.167499485479413
Eamon,17,449,0,Male,1,1,1.00174415435802,0.989772835206725
Eamonn,17,268,0,Male,1,1,1.00289131360221,0.982977439319587
Eanna,4,0,14,Female,0,0,1.03616388249591,0.748525314766452
Eany,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Earina,1,0,1,Female,0,0,1.03904982889782,0.167499485479413
Earl,16,114,0,Male,1,1,1.00656275140054,0.960838714440619
Earn,1,0,1,Female,0,0,1.03904982889782,0.167499485479413
Earnest,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Eartha,1,0,4,Female,0,0,1.05605943068294,0.454049732862462
Easa,7,39,0,Male,1,1,1.017133005255,0.893200141037434
Easha,3,0,14,Female,0,0,1.03616388249591,0.748525314766452
Eashan,14,138,0,Male,1,1,1.00547892074124,0.967438314793182
Eashar,1,4,0,Male,1,1,1.05605943068294,0.454049732862461
Eashen,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Easher,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Eason,8,48,0,Male,1,1,1.01436682751797,0.911533042815908
Eassa,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Easter,1,0,4,Female,0,0,1.05605943068294,0.454049732862462
Easton,6,25,1,Male,0.961538461538462,0.961538461538462,1.00873735811473,0.795512867861383
Eathan,16,161,0,Male,1,1,1.00473012399263,0.971965915655545
Eathen,3,10,0,Male,1,1,1.04335450588766,0.679112694249454
Eavan,5,0,15,Female,0,0,1.03467981392105,0.761436885043099
Eavie,8,0,34,Female,0,0,1.01917891017431,0.879306535672362
Ebadur,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Eban,11,81,0,Male,1,1,1.00901291303138,0.945709001536201
Ebanie,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Ebany,4,0,17,Female,0,0,1.03202273223858,0.783659132752567
Ebba,13,0,80,Female,0,0,1.00911598770442,0.945065882760049
Ebben,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Ebbie,2,0,6,Female,0,0,1.05244648969589,0.557219222401941
Ebbonie,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Ebbonie-anne,1,0,1,Female,0,0,1.03904982889782,0.167499485479413
Eben,17,375,0,Male,1,1,1.0020818670086,0.987778116023209
Ebenezer,17,191,0,Male,1,1,1.00401439401439,0.976269787576405
Ebian,1,0,1,Female,0,0,1.03904982889782,0.167499485479413
Ebikakibowei,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Ebinum,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Ebon,4,17,0,Male,1,1,1.03202273223858,0.783659132752567
Ebonee,3,0,13,Female,0,0,1.03776450540099,0.734140122244815
Eboney,13,0,75,Female,0,0,1.00966878043215,0.941607377085041
Eboni,17,0,254,Female,0,0,1.00304627488128,0.982055194687405
Eboni-louise,1,0,1,Female,0,0,1.03904982889782,0.167499485479413
Ebonie,17,0,359,Female,0,0,1.00217283081327,0.98724001403313
Ebonie-rose,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Ebonii,1,0,1,Female,0,0,1.03904982889782,0.167499485479413
Ebonni,1,0,1,Female,0,0,1.03904982889782,0.167499485479413
Ebonnie,12,0,58,Female,0,0,1.01217753333152,0.925704610881274
Ebony,17,0,5853,Female,0,0,1.00013576374513,0.999208343680737
Ebony-,2,0,7,Female,0,0,1.05010879551787,0.59556076941544
Ebony-eileen,1,0,1,Female,0,0,1.03904982889782,0.167499485479413
Ebony-grace,5,0,23,Female,0,0,1.02595241573026,0.830930965819318
Ebony-j,1,0,1,Female,0,0,1.03904982889782,0.167499485479413
Ebony-louise,2,0,4,Female,0,0,1.05605943068294,0.454049732862462
Ebony-mae,6,0,22,Female,0,0,1.02680555394299,0.824539571448392
Ebony-mai,4,0,13,Female,0,0,1.03776450540099,0.734140122244815
Ebony-may,3,0,12,Female,0,0,1.03949131523292,0.718014678111836
Ebony-rae,1,0,4,Female,0,0,1.05605943068294,0.454049732862462
Ebony-riece,1,0,1,Female,0,0,1.03904982889782,0.167499485479413
Ebony-rose,11,0,66,Female,0,0,1.01085287495175,0.934144568034709
Ebraheem,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Ebrahim,17,213,0,Male,1,1,1.00361340103321,0.978671080718641
Ebrar,3,0,10,Female,0,0,1.04335450588766,0.679112694249454
Ebrima,12,79,0,Male,1,1,1.00922144210107,0.944407346245012
Ebrima-fai,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Ebru,11,0,54,Female,0,0,1.01296840129086,0.920618010618244
Ebtehal,1,0,1,Female,0,0,1.03904982889782,0.167499485479413
Ebtisaam,1,0,1,Female,0,0,1.03904982889782,0.167499485479413
Ebtisam,1,0,1,Female,0,0,1.03904982889782,0.167499485479413
Ebubechi,1,4,0,Male,1,1,1.05605943068294,0.454049732862461
Ebubechukwu,5,27,3,Unknown,0.9,0.9,0.973361110376035,0.73582817508479
Ebubekir,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Ebunoluwa,14,0,89,Female,0,0,1.008265136424,0.950358318339745
Ebuwa,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
