Name,years.appearing,count.male,count.female,prob.gender,obs.male,est.male,upper,lower
Ga,1,0,1,Female,0,0,1.03904982889782,0.167499485479413
Ga-hyun,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Gab,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Gabbie,5,1,14,Female,0.0666666666666667,0.0666666666666667,1.00840324027801,0.681564565490916
Gabby,9,0,35,Female,0,0,1.01873201951779,0.882366988157802
Gabe,13,62,0,Male,1,1,1.01147724587183,0.930178682026801
Gabi,6,0,16,Female,0,0,1.03330254928781,0.773089770177758
Gabia,3,0,13,Female,0,0,1.03776450540099,0.734140122244815
Gabija,11,0,247,Female,0,0,1.00313015462675,0.98155555546777
Gabin,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Gabor,3,11,0,Male,1,1,1.04135282225748,0.699814210774485
Gabrial,3,11,0,Male,1,1,1.04135282225748,0.699814210774485
Gabrian,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Gabriel,17,10329,44,Male,0.99575821845175,0.99575821845175,0.996851789039858,0.99429759305438
Gabriel-cruz,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Gabriel-michael,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Gabriela,17,0,1492,Female,0,0,1.00053070308051,0.996901204694183
Gabriele,17,101,296,Unknown,0.254408060453401,0.254408060453401,0.786003553952368,0.70047307092996
Gabrielis,3,13,0,Male,1,1,1.03776450540099,0.734140122244815
Gabrielius,8,84,0,Male,1,1,1.00871718984614,0.947551081739203
Gabriella,17,0,6594,Female,0,0,1.00012052377537,0.999297246590186
Gabriella-frances,1,0,1,Female,0,0,1.03904982889782,0.167499485479413
Gabrielle,17,0,6174,Female,0,0,1.0001287132218,0.999249474314041
Gabrielle-leeanne,1,0,1,Female,0,0,1.03904982889782,0.167499485479413
Gabriels,3,17,0,Male,1,1,1.03202273223858,0.783659132752567
Gabrysia,1,0,1,Female,0,0,1.03904982889782,0.167499485479413
Gaby,10,0,52,Female,0,0,1.01340344539561,0.917804318480525
Gad,2,7,0,Male,1,1,1.05010879551787,0.59556076941544
Gadi,1,4,0,Male,1,1,1.05605943068294,0.454049732862461
Gael,7,41,0,Male,1,1,1.01643078408833,0.897901645727241
Gaelen,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Gaelle,3,0,9,Female,0,0,1.04549522023528,0.655359731345175
Gaetan,1,4,0,Male,1,1,1.05605943068294,0.454049732862461
Gaetano,2,5,0,Male,1,1,1.05457239484969,0.51094514036714
Gagan,8,19,13,Unknown,0.59375,0.59375,0.745083176880005,0.42232072344717
Gagandeep,16,101,41,Unknown,0.711267605633803,0.711267605633803,0.779665321661245,0.631740327220582
Gaganpreet,3,3,6,Unknown,0.333333333333333,0.333333333333333,0.882712549942373,0.350905767251112
Gage,17,306,0,Male,1,1,1.00254052427234,0.985061332382621
Gaia,17,0,320,Female,0,0,1.00243182214833,0.985706019020361
Gaiah,1,0,1,Female,0,0,1.03904982889782,0.167499485479413
Gaibrial,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Gaida,1,0,1,Female,0,0,1.03904982889782,0.167499485479413
Gaige,7,27,0,Male,1,1,1.02300960269013,0.852435367568002
Gaihbryell,1,0,1,Female,0,0,1.03904982889782,0.167499485479413
Gail,9,0,39,Female,0,0,1.017133005255,0.893200141037433
Gailmarie,1,0,1,Female,0,0,1.03904982889782,0.167499485479413
Gaius,8,44,0,Male,1,1,1.01547834165126,0.904226054590256
Gaiwalin,1,0,1,Female,0,0,1.03904982889782,0.167499485479413
Gaizka,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Gaja,5,0,26,Female,0,0,1.02368252405846,0.847588554082327
Gal,1,4,0,Male,1,1,1.05605943068294,0.454049732862461
Gala,6,0,21,Female,0,0,1.02771445470298,0.817646526372173
Galen,5,16,0,Male,1,1,1.03330254928781,0.773089770177758
Galia,2,0,8,Female,0,0,1.04776037949305,0.627832055623072
Galileo,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Galina,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Galip,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Galla,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Gallagher,3,8,0,Male,1,1,1.04776037949305,0.627832055623071
Galvin,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Gamal,2,6,0,Male,1,1,1.05244648969589,0.557219222401941
Gamaliel,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Gamar,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Gamze,12,0,57,Female,0,0,1.01236610687025,0.924495058276775
Ganesh,6,22,0,Male,1,1,1.02680555394299,0.824539571448393
Ganeve,1,0,5,Female,0,0,1.05457239484969,0.51094514036714
Ganga,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Ganigan,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Ganika,1,0,1,Female,0,0,1.03904982889782,0.167499485479413
Gar,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Garan,4,18,0,Male,1,1,1.03083164145996,0.793289134893386
Garance,3,0,7,Female,0,0,1.05010879551787,0.59556076941544
Garbhan,3,9,0,Male,1,1,1.04549522023528,0.655359731345175
Garda,1,0,1,Female,0,0,1.03904982889782,0.167499485479413
Gardiner,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Garet,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Gareth,17,2322,0,Male,1,1,1.00034158404849,0.99800677335733
Gargi,3,0,11,Female,0,0,1.04135282225748,0.699814210774485
Garima,1,0,5,Female,0,0,1.05457239484969,0.51094514036714
Garin,13,138,0,Male,1,1,1.00547892074124,0.967438314793182
Garion,4,15,0,Male,1,1,1.03467981392105,0.761436885043099
Garland,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Garmon,2,6,0,Male,1,1,1.05244648969589,0.557219222401941
Garon,2,6,0,Male,1,1,1.05244648969589,0.557219222401941
Garren,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Garret,2,6,0,Male,1,1,1.05244648969589,0.557219222401941
Garreth,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Garrett,15,75,0,Male,1,1,1.00966878043215,0.941607377085041
Garrick,4,14,0,Male,1,1,1.03616388249591,0.748525314766452
Garrison,2,6,0,Male,1,1,1.05244648969589,0.557219222401941
Garron,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Garry,17,227,0,Male,1,1,1.00339743093173,0.979961455984346
Garth,11,58,0,Male,1,1,1.01217753333152,0.925704610881274
Garv,4,18,0,Male,1,1,1.03083164145996,0.793289134893386
Garve,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Garvey,4,13,0,Male,1,1,1.03776450540099,0.734140122244815
Garvie,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Gary,17,1750,0,Male,1,1,1.00045278001753,0.997356908651091
Gary-brian,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Garyn,12,67,0,Male,1,1,1.01070722189196,0.935066638716736
Gaspar,2,4,0,Male,1,1,1.05605943068294,0.454049732862461
Gaspard,6,34,0,Male,1,1,1.01917891017431,0.879306535672362
Gaston,2,6,0,Male,1,1,1.05244648969589,0.557219222401941
Gaura-kisora,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Gaurav,17,153,0,Male,1,1,1.00496621544423,0.970541160924373
Gauri,9,0,63,Female,0,0,1.01131453662976,0.931214263781391
Gautam,9,33,0,Male,1,1,1.01964734085817,0.876082661599378
Gautham,5,20,0,Male,1,1,1.02868440248967,0.810190439457511
Gavan,1,5,0,Male,1,1,1.05457239484969,0.51094514036714
Gavi,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Gavin,17,1433,0,Male,1,1,1.00055244509274,0.996774010935441
Gavindeep,5,21,0,Male,1,1,1.02771445470298,0.817646526372173
Gavinder,4,21,0,Male,1,1,1.02771445470298,0.817646526372173
Gavriel,14,78,0,Male,1,1,1.00932935939332,0.943732830894487
Gavriella,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Gavyn,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Gawain,2,6,0,Male,1,1,1.05244648969589,0.557219222401941
Gawin,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Gaya,2,0,5,Female,0,0,1.05457239484969,0.51094514036714
Gayathiri,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Gayathri,5,0,19,Female,0,0,1.02972128304972,0.802099492897666
Gayatri,6,0,20,Female,0,0,1.02868440248967,0.810190439457511
Gayle,3,0,11,Female,0,0,1.04135282225748,0.699814210774485
Gaynor,6,0,31,Female,0,0,1.02065523580291,0.869089368736657
Gazel,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Gazi,3,10,0,Male,1,1,1.04335450588766,0.679112694249454
Gbemisola,2,0,7,Female,0,0,1.05010879551787,0.59556076941544
Gbolahan,3,10,0,Male,1,1,1.04335450588766,0.679112694249454
Gearoid,5,15,0,Male,1,1,1.03467981392105,0.761436885043099
Ged,11,42,0,Male,1,1,1.01610064702825,0.900100562106044
Geddes,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Gedeon,5,15,0,Male,1,1,1.03467981392105,0.761436885043099
Gediminas,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Geena,14,0,97,Female,0,0,1.00763177064496,0.954274186829091
Geet,2,0,12,Female,0,0,1.03949131523292,0.718014678111836
Geeta,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Geetika,1,0,4,Female,0,0,1.05605943068294,0.454049732862462
Geeya,1,0,1,Female,0,0,1.03904982889782,0.167499485479413
Gelica,1,0,1,Female,0,0,1.03904982889782,0.167499485479413
Gem,8,20,9,Unknown,0.689655172413793,0.689655172413793,0.828598034864673,0.506344455359564
Gem-ruth,1,0,1,Female,0,0,1.03904982889782,0.167499485479413
Gemima,9,0,31,Female,0,0,1.02065523580291,0.869089368736657
Gemini,7,0,24,Female,0,0,1.02515029757606,0.836873497748962
Gemma,17,0,8575,Female,0,0,1.00009270343526,0.999459513628183
Gemma-louise,4,0,18,Female,0,0,1.03083164145996,0.793289134893386
Gemmi,1,0,1,Female,0,0,1.03904982889782,0.167499485479413
Gena,3,0,8,Female,0,0,1.04776037949305,0.627832055623072
Genan,1,0,1,Female,0,0,1.03904982889782,0.167499485479413
Gene,15,321,0,Male,1,1,1.002424412532,0.985749945400508
Genelia,1,0,1,Female,0,0,1.03904982889782,0.167499485479413
Genesa,1,0,1,Female,0,0,1.03904982889782,0.167499485479413
Genesis,11,24,72,Unknown,0.25,0.25,0.826379121601378,0.654383084469784
Geneva,14,0,83,Female,0,0,1.0088135884368,0.946951101921225
Geneve,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Genevieve,17,0,1362,Female,0,0,1.00058109348341,0.996606384758751
Genie,5,0,16,Female,0,0,1.03330254928781,0.773089770177758
Genna,14,0,92,Female,0,0,1.00801569531614,0.951902915398237
Gennaro,3,12,0,Male,1,1,1.03949131523292,0.718014678111836
Geno,9,35,0,Male,1,1,1.01873201951779,0.882366988157803
Genson,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Gent,2,8,0,Male,1,1,1.04776037949305,0.627832055623071
Genta,1,0,4,Female,0,0,1.05605943068294,0.454049732862462
Gentian,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Gentiana,2,0,6,Female,0,0,1.05244648969589,0.557219222401941
Gentrit,4,15,0,Male,1,1,1.03467981392105,0.761436885043099
Geo,5,9,0,Male,1,1,1.04549522023528,0.655359731345175
Geoff,3,10,0,Male,1,1,1.04335450588766,0.679112694249454
Geoffrey,17,290,0,Male,1,1,1.00267729353385,0.984249470183863
Geordan,4,17,0,Male,1,1,1.03202273223858,0.783659132752567
Geordie,16,106,0,Male,1,1,1.00702592741224,0.958001314014284
Geordin,1,0,1,Female,0,0,1.03904982889782,0.167499485479413
Georga,16,0,134,Female,0,0,1.0056340140097,0.966497310966402
George,17,70043,26,Male,0.999628937190484,0.999628937190484,0.999749313297096,0.999453780830983
George-james,2,4,0,Male,1,1,1.05605943068294,0.454049732862461
Georgea,4,0,18,Female,0,0,1.03083164145996,0.793289134893386
Georgeana,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Georgee,1,0,4,Female,0,0,1.05605943068294,0.454049732862462
Georgeina,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Georgena,2,0,8,Female,0,0,1.04776037949305,0.627832055623072
Georges,9,33,0,Male,1,1,1.01964734085817,0.876082661599378
Georgette,13,0,90,Female,0,0,1.00818028493615,0.950884089499528
Georgey,3,10,0,Male,1,1,1.04335450588766,0.679112694249454
Georgi,17,87,83,Unknown,0.511764705882353,0.511764705882353,0.5858111696032,0.437198301366126
Georgia,17,0,40821,Female,0,0,1.00001948637749,0.999886417511328
Georgia-grace,2,0,6,Female,0,0,1.05244648969589,0.557219222401941
Georgia-lee,6,0,21,Female,0,0,1.02771445470298,0.817646526372173
Georgia-leigh,15,0,91,Female,0,0,1.00809715516263,0.951398840908493
Georgia-louise,7,0,36,Female,0,0,1.01830523879335,0.885276132612188
Georgia-mae,14,0,90,Female,0,0,1.00818028493615,0.950884089499528
Georgia-mai,6,0,20,Female,0,0,1.02868440248967,0.810190439457511
Georgia-may,16,0,85,Female,0,0,1.00862287327457,0.948137642911382
Georgia-rae,2,0,6,Female,0,0,1.05244648969589,0.557219222401941
Georgia-rose,8,0,38,Female,0,0,1.01750688194436,0.89068324983006
Georgia-skye,1,0,1,Female,0,0,1.03904982889782,0.167499485479413
Georgiana,17,0,439,Female,0,0,1.00178324550369,0.989542185428356
Georgianna,9,0,41,Female,0,0,1.01643078408833,0.897901645727241
Georgie,17,957,2391,Unknown,0.28584229390681,0.28584229390681,0.729211806345838,0.698612724622442
Georgie-ann,1,0,4,Female,0,0,1.05605943068294,0.454049732862462
Georgie-lee,2,4,3,Unknown,0.571428571428571,0.571428571428571,0.842478754260601,0.249759755015586
Georgie-leigh,2,0,7,Female,0,0,1.05010879551787,0.59556076941544
Georgie-mae,3,0,14,Female,0,0,1.03616388249591,0.748525314766452
Georgie-may,2,0,6,Female,0,0,1.05244648969589,0.557219222401941
Georgie-rae,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Georgie-rose,1,0,4,Female,0,0,1.05605943068294,0.454049732862462
Georgina,17,0,13184,Female,0,0,1.00006031270233,0.999648399384276
Georgio,17,96,0,Male,1,1,1.00770558922391,0.953818822918413
Georgios,17,101,0,Male,1,1,1.00735010002824,0.956009253571902
Georgiy,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Georgy,6,6,10,Unknown,0.375,0.375,0.816286347362076,0.385311732504315
Georja,2,0,6,Female,0,0,1.05244648969589,0.557219222401941
Geovanna,2,0,6,Female,0,0,1.05244648969589,0.557219222401941
Geovanni,2,7,0,Male,1,1,1.05010879551787,0.59556076941544
Ger,2,7,0,Male,1,1,1.05010879551787,0.59556076941544
Geraint,17,293,0,Male,1,1,1.00265053896588,0.984408348172206
Gerald,17,273,0,Male,1,1,1.00283972219194,0.983284253468862
Geraldine,17,0,205,Female,0,0,1.00374960136481,0.977856259643892
Gerallt,2,8,0,Male,1,1,1.04776037949305,0.627832055623071
Gerard,17,848,0,Male,1,1,1.00093037038568,0.994560035979363
Gerardas,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Gerasimos,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Gerda,9,0,38,Female,0,0,1.01750688194436,0.89068324983006
Gergana,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Gergely,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Gergo,2,8,0,Male,1,1,1.04776037949305,0.627832055623071
Geri,8,3,69,Female,0.0416666666666667,0.0416666666666667,0.99055389683086,0.879682528289054
Germain,2,6,0,Male,1,1,1.05244648969589,0.557219222401941
Germaine,7,4,24,Unknown,0.142857142857143,0.142857142857143,0.949191592925916,0.678920332241337
German,2,2,0,Male,1,1,1.05215297529068,0.290227252215969
Gerome,2,6,0,Male,1,1,1.05244648969589,0.557219222401941
Geronimo,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Gerran,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Gerrard,14,176,0,Male,1,1,1.00434298025881,0.974296768073507
