Name,years.appearing,count.male,count.female,prob.gender,obs.male,est.male,upper,lower
M,3,15,0,Male,1,1,1.03467981392105,0.761436885043099
M'kai,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
M'kyah,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Ma,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Ma'az,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Maab,3,0,10,Female,0,0,1.04335450588766,0.679112694249454
Maahi,7,6,58,Female,0.09375,0.09375,0.95966109575385,0.806831855664496
Maahin,2,7,1,Unknown,0.875,0.875,0.99886673751807,0.50782758881902
Maahir,6,27,0,Male,1,1,1.02300960269013,0.852435367568002
Maahira,2,0,7,Female,0,0,1.05010879551787,0.59556076941544
Maahirah,7,0,26,Female,0,0,1.02368252405846,0.847588554082327
Maahnoor,4,0,14,Female,0,0,1.03616388249591,0.748525314766452
Maahum,2,0,6,Female,0,0,1.05244648969589,0.557219222401941
Maaida,2,0,7,Female,0,0,1.05010879551787,0.59556076941544
Maaike,2,0,6,Female,0,0,1.05244648969589,0.557219222401941
Maali,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Maalik,5,19,0,Male,1,1,1.02972128304972,0.802099492897666
Maalikah,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Maame,17,0,170,Female,0,0,1.00448997913863,0.973412537057718
Maanas,2,7,0,Male,1,1,1.05010879551787,0.59556076941544
Maanav,4,15,0,Male,1,1,1.03467981392105,0.761436885043099
Maani,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Maansi,2,0,6,Female,0,0,1.05244648969589,0.557219222401941
Maanvi,1,0,4,Female,0,0,1.05605943068294,0.454049732862462
Maanya,7,0,29,Female,0,0,1.02177015430911,0.861260047191147
Maaria,17,0,266,Female,0,0,1.00291247880254,0.982851536714262
Maariah,10,0,43,Female,0,0,1.01578341117229,0.902206785601917
Maarij,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Maariya,17,0,426,Female,0,0,1.00183676207371,0.989226317715679
Maariyaah,6,0,21,Female,0,0,1.02771445470298,0.817646526372173
Maariyah,17,0,628,Female,0,0,1.00125262493719,0.992667592283335
Maarya,14,0,83,Female,0,0,1.0088135884368,0.946951101921225
Maaya,6,0,27,Female,0,0,1.02300960269013,0.852435367568002
Maayan,4,0,10,Female,0,0,1.04335450588766,0.679112694249454
Maaz,14,95,0,Male,1,1,1.00778084765702,0.953354298803511
Maazin,2,7,0,Male,1,1,1.05010879551787,0.59556076941544
Mabel,17,0,1062,Female,0,0,1.00074414778067,0.99565169628328
Mabelle,2,0,14,Female,0,0,1.03616388249591,0.748525314766452
Mabinty,2,0,6,Female,0,0,1.05244648969589,0.557219222401941
Mable,1,0,7,Female,0,0,1.05010879551787,0.59556076941544
Mabli,13,0,113,Female,0,0,1.00661728443559,0.960505183398459
Mabon,11,72,0,Male,1,1,1.01003376499794,0.939315062405606
Mabrok,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Mac,17,282,0,Male,1,1,1.0027513522572,0.983809523703401
Macaella,1,0,1,Female,0,0,1.03904982889782,0.167499485479413
Macailean,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Macallan,2,2,0,Male,1,1,1.05215297529068,0.290227252215969
Macallen,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Macana,1,0,1,Female,0,0,1.03904982889782,0.167499485479413
Macara,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Macario,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Macaulay,17,804,0,Male,1,1,1.00098083735195,0.994263948888285
Macaulee,1,6,0,Male,1,1,1.05244648969589,0.557219222401941
Macauley,17,1976,3,Male,0.998484082870136,0.998484082870136,0.999708299988846,0.995328389012731
Macaullay,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Macaulley,2,9,0,Male,1,1,1.04549522023528,0.655359731345175
Macaully,7,28,0,Male,1,1,1.02237307833611,0.856983616898048
Macauly,12,101,0,Male,1,1,1.00735010002824,0.956009253571902
Macawley,2,6,0,Male,1,1,1.05244648969589,0.557219222401941
Macayla,4,0,16,Female,0,0,1.03330254928781,0.773089770177758
Maccaulay,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Maccauley,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Macdonald,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Mace,14,68,0,Male,1,1,1.01056541509481,0.935963248385124
Macee,5,0,16,Female,0,0,1.03330254928781,0.773089770177758
Macen,5,14,0,Male,1,1,1.03616388249591,0.748525314766452
Macenzie,3,10,3,Unknown,0.769230769230769,0.769230769230769,0.925012907708711,0.490628045639029
Maceo,4,14,0,Male,1,1,1.03616388249591,0.748525314766452
Macey,17,18,3336,Female,0.00536672629695885,0.00536672629695885,0.996664857673344,0.99146994281998
Macey-jane,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Macey-jayne,2,0,6,Female,0,0,1.05244648969589,0.557219222401941
Macey-jo,2,0,9,Female,0,0,1.04549522023528,0.655359731345175
Macey-lea,1,0,5,Female,0,0,1.05457239484969,0.51094514036714
Macey-lee,3,0,10,Female,0,0,1.04335450588766,0.679112694249454
Macey-leigh,6,0,55,Female,0,0,1.01276125153464,0.921953847348276
Macey-lou,1,0,4,Female,0,0,1.05605943068294,0.454049732862462
Macey-mae,3,0,9,Female,0,0,1.04549522023528,0.655359731345175
Macey-marie,1,0,1,Female,0,0,1.03904982889782,0.167499485479413
Macey-may,3,0,9,Female,0,0,1.04549522023528,0.655359731345175
Macey-rae,3,0,10,Female,0,0,1.04335450588766,0.679112694249454
Macey-rose,2,0,7,Female,0,0,1.05010879551787,0.59556076941544
Macgregor,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Machaela,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Machara,1,0,1,Female,0,0,1.03904982889782,0.167499485479413
Macheda,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Machlan,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Maci,12,0,503,Female,0,0,1.00155954170284,0.990861246388113
Maci-grace,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Maci-jai,1,0,5,Female,0,0,1.05457239484969,0.51094514036714
Maci-jo,1,0,1,Female,0,0,1.03904982889782,0.167499485479413
Maci-kay,1,0,1,Female,0,0,1.03904982889782,0.167499485479413
Maci-lea,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Maci-lee,2,0,2,Female,0,0,1.05215297529068,0.290227252215969
Maci-leigh,2,0,11,Female,0,0,1.04135282225748,0.699814210774485
Maci-marie,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Maci-sue,1,0,1,Female,0,0,1.03904982889782,0.167499485479413
Macie,15,0,2329,Female,0,0,1.00034056052354,0.998012752854803
Macie-ann,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Macie-anne,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Macie-jane,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Macie-jay,2,0,7,Female,0,0,1.05010879551787,0.59556076941544
Macie-jo,1,0,4,Female,0,0,1.05605943068294,0.454049732862462
Macie-lea,3,0,12,Female,0,0,1.03949131523292,0.718014678111836
Macie-lee,2,0,6,Female,0,0,1.05244648969589,0.557219222401941
Macie-leigh,7,0,81,Female,0,0,1.00901291303138,0.945709001536201
Macie-lou,2,0,7,Female,0,0,1.05010879551787,0.59556076941544
Macie-louise,3,0,13,Female,0,0,1.03776450540099,0.734140122244815
Macie-mae,3,0,21,Female,0,0,1.02771445470298,0.817646526372173
Macie-mai,2,0,6,Female,0,0,1.05244648969589,0.557219222401941
Macie-marie,1,0,5,Female,0,0,1.05457239484969,0.51094514036714
Macie-may,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Macie-rae,3,0,13,Female,0,0,1.03776450540099,0.734140122244815
Macie-rose,3,0,13,Female,0,0,1.03776450540099,0.734140122244815
Maciee,1,0,1,Female,0,0,1.03904982889782,0.167499485479413
Maciej,11,396,0,Male,1,1,1.00197343238335,0.988419112621806
Maciek,4,16,0,Male,1,1,1.03330254928781,0.773089770177758
Macii,1,0,1,Female,0,0,1.03904982889782,0.167499485479413
Macintyre,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Macire,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Mack,16,208,0,Male,1,1,1.00369734012299,0.978169010108551
Mackai,4,17,0,Male,1,1,1.03202273223858,0.783659132752567
Mackay,3,3,0,Male,1,1,1.05597453703631,0.382528431208642
Mackayla,2,0,7,Female,0,0,1.05010879551787,0.59556076941544
Mackenna,6,0,17,Female,0,0,1.03202273223858,0.783659132752567
Mackensey,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Mackensie,3,3,9,Unknown,0.25,0.25,0.917251086676521,0.461501909995859
Mackenzi,6,10,15,Unknown,0.4,0.4,0.766395312994217,0.406966236817974
Mackenzie,17,3986,1271,Unknown,0.758227125737112,0.758227125737112,0.769611388919779,0.746465748407339
Mackenzie-craig,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Mackenzie-john,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Mackenzie-lee,2,6,0,Male,1,1,1.05244648969589,0.557219222401941
Mackenzie-leigh,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Mackenzii,1,0,1,Female,0,0,1.03904982889782,0.167499485479413
Mackenzy,4,12,0,Male,1,1,1.03949131523292,0.718014678111836
Mackie,3,5,0,Male,1,1,1.05457239484969,0.51094514036714
Mackinlay,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Mackinley,3,16,0,Male,1,1,1.03330254928781,0.773089770177758
Mackinnon,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Mackintosh,1,2,0,Male,1,1,1.05215297529068,0.290227252215969
Macklin,2,5,0,Male,1,1,1.05457239484969,0.51094514036714
Macky,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Mackynzi,1,0,1,Female,0,0,1.03904982889782,0.167499485479413
Maclaren,2,4,0,Male,1,1,1.05605943068294,0.454049732862461
Maclean,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Macleod,2,2,0,Male,1,1,1.05215297529068,0.290227252215969
Macorley,5,28,0,Male,1,1,1.02237307833611,0.856983616898048
Macoumba,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Macs,4,16,0,Male,1,1,1.03330254928781,0.773089770177758
Macsen,17,249,0,Male,1,1,1.00310572140412,0.981701126180874
Macson,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Macy,15,3,3758,Female,0.000797660196756182,0.000797660196756182,0.999847048285329,0.997538908353659
Macy-grace,2,0,2,Female,0,0,1.05215297529068,0.290227252215969
Macy-jane,2,0,10,Female,0,0,1.04335450588766,0.679112694249454
Macy-jo,1,0,4,Female,0,0,1.05605943068294,0.454049732862462
Macy-kate,1,0,1,Female,0,0,1.03904982889782,0.167499485479413
Macy-lee,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Macy-leigh,4,0,18,Female,0,0,1.03083164145996,0.793289134893386
Macy-mae,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Macy-rose,2,0,4,Female,0,0,1.05605943068294,0.454049732862462
Macyrae,1,0,1,Female,0,0,1.03904982889782,0.167499485479413
Madalaine,10,0,67,Female,0,0,1.01070722189196,0.935066638716736
Madaleine,14,0,106,Female,0,0,1.00702592741224,0.958001314014284
Madalena,9,0,40,Female,0,0,1.01677461680296,0.895603781999753
Madalene,5,0,17,Female,0,0,1.03202273223858,0.783659132752567
Madalin,9,0,33,Female,0,0,1.01964734085817,0.876082661599378
Madalina,5,0,25,Female,0,0,1.0243949420667,0.842412806994256
Madaline,15,0,116,Female,0,0,1.00645633545689,0.961489158043471
Madalyn,16,0,166,Female,0,0,1.00459363176504,0.972788458289016
Madalyne,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Madalynn,2,0,4,Female,0,0,1.05605943068294,0.454049732862462
Madalynne,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Madar,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Madara,3,0,10,Female,0,0,1.04335450588766,0.679112694249454
Maddalena,13,0,58,Female,0,0,1.01217753333152,0.925704610881274
Maddalene,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Maddalyn,2,0,6,Female,0,0,1.05244648969589,0.557219222401941
Maddeline,2,0,7,Female,0,0,1.05010879551787,0.59556076941544
Madden,3,9,0,Male,1,1,1.04549522023528,0.655359731345175
Maddi,15,0,118,Female,0,0,1.00635331234098,0.962118348636529
Maddie,17,0,2080,Female,0,0,1.0003811902428,0.997775359141304
Maddie-leigh,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Maddie-rose,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Maddisen,2,0,7,Female,0,0,1.05010879551787,0.59556076941544
Maddison,17,27,9498,Female,0.00283464566929134,0.00283464566929134,0.998069393510815,0.995860460493928
Maddison-bluebell,1,0,1,Female,0,0,1.03904982889782,0.167499485479413
Maddison-grace,2,0,7,Female,0,0,1.05010879551787,0.59556076941544
Maddison-lee,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Maddison-leigh,4,0,14,Female,0,0,1.03616388249591,0.748525314766452
Maddison-mae,3,0,10,Female,0,0,1.04335450588766,0.679112694249454
Maddison-mai,1,0,4,Female,0,0,1.05605943068294,0.454049732862462
Maddison-rose,3,0,12,Female,0,0,1.03949131523292,0.718014678111836
Maddisson,1,0,4,Female,0,0,1.05605943068294,0.454049732862462
Maddisyn,4,0,11,Female,0,0,1.04135282225748,0.699814210774485
Maddix,2,4,0,Male,1,1,1.05605943068294,0.454049732862461
Maddoch,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Maddox,10,563,7,Male,0.987719298245614,0.987719298245614,0.994576081781344,0.974332649809154
Maddy,17,0,362,Female,0,0,1.00215517458499,0.987344487828676
Maddyson,9,0,45,Female,0,0,1.01518475777118,0.906163643495931
Madeeha,17,0,313,Female,0,0,1.00248498517655,0.985390784506516
Madeehah,4,0,13,Female,0,0,1.03776450540099,0.734140122244815
Madeenah,1,0,4,Female,0,0,1.05605943068294,0.454049732862462
Madeha,11,0,49,Female,0,0,1.01411330356196,0.91318887721754
Madelaine,17,0,1033,Female,0,0,1.00076489518328,0.995530142222862
Madeleina,2,0,6,Female,0,0,1.05244648969589,0.557219222401941
Madeleine,17,0,10307,Female,0,0,1.00007713620282,0.99955029878044
Madelena,3,0,7,Female,0,0,1.05010879551787,0.59556076941544
Madelene,11,0,64,Female,0,0,1.01115636084088,0.932219579366318
Madelief,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Madeliene,3,0,11,Female,0,0,1.04135282225748,0.699814210774485
Madelin,12,0,66,Female,0,0,1.01085287495175,0.934144568034709
Madeline,17,0,4936,Female,0,0,1.00016094930193,0.999061402497677
Madelyn,17,0,351,Female,0,0,1.00222135986905,0.986952794601345
Madelyne,9,0,35,Female,0,0,1.01873201951779,0.882366988157802
Madelynn,2,0,7,Female,0,0,1.05010879551787,0.59556076941544
Madelynne,1,0,1,Female,0,0,1.03904982889782,0.167499485479413
Madhav,9,45,0,Male,1,1,1.01518475777118,0.906163643495931
Madhava,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Madhavi,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Madhia,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Madhiya,3,0,11,Female,0,0,1.04135282225748,0.699814210774485
Madhvi,2,0,6,Female,0,0,1.05244648969589,0.557219222401941
Madi,8,0,40,Female,0,0,1.01677461680296,0.895603781999753
Madia,10,0,37,Female,0,0,1.01789725940812,0.888044914754675
Madiah,2,0,6,Female,0,0,1.05244648969589,0.557219222401941
Madie,3,0,9,Female,0,0,1.04549522023528,0.655359731345175
Madieha,1,0,1,Female,0,0,1.03904982889782,0.167499485479413
Madieson,1,0,1,Female,0,0,1.03904982889782,0.167499485479413
Madiha,17,0,497,Female,0,0,1.00157810141514,0.990751888938016
Madihah,16,0,298,Female,0,0,1.0026071166623,0.984666139848911
Madilyn,6,0,31,Female,0,0,1.02065523580291,0.869089368736657
Madina,17,0,255,Female,0,0,1.0030346575696,0.982124370515789
Madinah,11,0,65,Female,0,0,1.01100253233371,0.933195936343431
Madisen,3,0,11,Female,0,0,1.04135282225748,0.699814210774485
Madison,17,91,14614,Female,0.00618837130227814,0.00618837130227814,0.994963073716079,0.992402249423681
Madison-grace,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Madison-kate,1,0,1,Female,0,0,1.03904982889782,0.167499485479413
Madison-leigh,7,0,31,Female,0,0,1.02065523580291,0.869089368736657
Madison-mae,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Madison-may,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Madison-rose,3,0,13,Female,0,0,1.03776450540099,0.734140122244815
Madisson,9,0,47,Female,0,0,1.01462956650744,0.909812829328562
Madisyn,9,0,103,Female,0,0,1.00721691070304,0.956828331068317
Madita,1,0,1,Female,0,0,1.03904982889782,0.167499485479413
Madiya,13,0,72,Female,0,0,1.01003376499794,0.939315062405606
Madiyah,7,0,29,Female,0,0,1.02177015430911,0.861260047191147
Madiyyah,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Madleine,1,0,1,Female,0,0,1.03904982889782,0.167499485479413
Madlen,6,0,23,Female,0,0,1.02595241573026,0.830930965819318
Madlyn,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Madoc,10,95,0,Male,1,1,1.00778084765702,0.953354298803511
Madoka,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Madona,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Madonna,2,0,6,Female,0,0,1.05244648969589,0.557219222401941
Madox,2,7,0,Male,1,1,1.05010879551787,0.59556076941544
Mads,2,4,0,Male,1,1,1.05605943068294,0.454049732862461
Madyson,12,0,96,Female,0,0,1.00770558922391,0.953818822918413
Madyson-anne,1,0,1,Female,0,0,1.03904982889782,0.167499485479413
Madysyn,1,0,1,Female,0,0,1.03904982889782,0.167499485479413
Mae,17,0,1586,Female,0,0,1.00049938994938,0.997084357285674
Maea,1,0,4,Female,0,0,1.05605943068294,0.454049732862462
Maebh,9,0,85,Female,0,0,1.00862287327457,0.948137642911382
