Name,years.appearing,count.male,count.female,prob.gender,obs.male,est.male,upper,lower
P,1,2,0,Male,1,1,1.05215297529068,0.290227252215969
Pa,12,55,0,Male,1,1,1.01276125153464,0.921953847348276
Paa,7,23,0,Male,1,1,1.02595241573026,0.830930965819318
Paapa,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Paarmik,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Paarth,5,17,0,Male,1,1,1.03202273223858,0.783659132752567
Paavan,3,10,0,Male,1,1,1.04335450588766,0.679112694249454
Paavana,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Paayal,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Pablo,17,444,0,Male,1,1,1.0017634833378,0.989658796254601
Pacey,14,140,5,Male,0.96551724137931,0.96551724137931,0.987329488551832,0.919675865128767
Pacha,5,0,23,Female,0,0,1.02595241573026,0.830930965819318
Paddy,17,404,0,Male,1,1,1.00193503712612,0.988645962579495
Paddyjoe,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Padhraic,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Padhraig,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Padraic,9,35,0,Male,1,1,1.01873201951779,0.882366988157803
Padraig,17,704,0,Male,1,1,1.00111875941383,0.993454236031942
Padraigin,2,0,6,Female,0,0,1.05244648969589,0.557219222401941
Padruig,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Pagan,16,0,129,Female,0,0,1.00584067119058,0.96524170885254
Page,12,0,76,Female,0,0,1.00955293513807,0.942333479796788
Pagen,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Pahal,1,0,4,Female,0,0,1.05605943068294,0.454049732862462
Pahulveer,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Paidi,3,7,0,Male,1,1,1.05010879551787,0.59556076941544
Paigan,3,0,12,Female,0,0,1.03949131523292,0.718014678111836
Paige,17,0,21072,Female,0,0,1.00003774313805,0.999779988513223
Paige-leigh,1,0,4,Female,0,0,1.05605943068294,0.454049732862462
Paige-louise,7,0,23,Female,0,0,1.02595241573026,0.830930965819318
Paige-marie,10,0,35,Female,0,0,1.01873201951779,0.882366988157802
Paigen,2,0,6,Female,0,0,1.05244648969589,0.557219222401941
Paighton,13,0,106,Female,0,0,1.00702592741224,0.958001314014284
Paignton,3,0,10,Female,0,0,1.04335450588766,0.679112694249454
Paigton,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Paije,1,0,5,Female,0,0,1.05457239484969,0.51094514036714
Paikea,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Paisleigh,3,0,11,Female,0,0,1.04135282225748,0.699814210774485
Paisley,17,34,381,Female,0.0819277108433735,0.0819277108433735,0.941054293078176,0.88742147667257
Paiton,6,0,46,Female,0,0,1.01490202817531,0.908024408739109
Paityn,1,0,5,Female,0,0,1.05457239484969,0.51094514036714
