Name,years.appearing,count.male,count.female,prob.gender,obs.male,est.male,upper,lower
Sa'ad,12,71,0,Male,1,1,1.01016161130649,0.938510436496623
Saabir,8,38,0,Male,1,1,1.01750688194436,0.890683249830061
Saabirin,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Saachi,11,0,72,Female,0,0,1.01003376499794,0.939315062405606
Saad,17,565,0,Male,1,1,1.0013905498009,0.991856322836237
Saada,2,0,8,Female,0,0,1.04776037949305,0.627832055623072
Saadi,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Saadia,16,0,94,Female,0,0,1.00785758841732,0.952880335291131
Saadiah,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Saadiq,3,7,0,Male,1,1,1.05010879551787,0.59556076941544
Saadiya,1,0,4,Female,0,0,1.05605943068294,0.454049732862462
Saadiyah,3,0,9,Female,0,0,1.04549522023528,0.655359731345175
Saafir,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Saagar,4,19,0,Male,1,1,1.02972128304972,0.802099492897666
Saahibah,1,0,4,Female,0,0,1.05605943068294,0.454049732862462
Saahil,13,115,0,Male,1,1,1.00650910894661,0.961166659604073
Saahir,7,26,0,Male,1,1,1.02368252405846,0.847588554082327
Saahirah,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Saahith,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Saaid,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Saail,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Saaim,10,51,0,Male,1,1,1.0136320395752,0.916321340526268
Saaima,2,0,7,Female,0,0,1.05010879551787,0.59556076941544
Saaimah,5,0,16,Female,0,0,1.03330254928781,0.773089770177758
Saairah,1,0,5,Female,0,0,1.05457239484969,0.51094514036714
Saajan,11,49,0,Male,1,1,1.01411330356196,0.91318887721754
Saajid,3,11,0,Male,1,1,1.04135282225748,0.699814210774485
Saajidah,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Saaketh,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Saaleha,4,0,13,Female,0,0,1.03776450540099,0.734140122244815
Saalih,4,16,0,Male,1,1,1.03330254928781,0.773089770177758
Saaliha,12,0,77,Female,0,0,1.0094398266639,0.943041748053668
Saalihah,12,0,66,Female,0,0,1.01085287495175,0.934144568034709
Saam,8,31,0,Male,1,1,1.02065523580291,0.869089368736657
Saami,7,33,0,Male,1,1,1.01964734085817,0.876082661599378
Saamia,5,0,20,Female,0,0,1.02868440248967,0.810190439457511
Saamir,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Saamiya,9,0,40,Female,0,0,1.01677461680296,0.895603781999753
Saamiyah,2,0,9,Female,0,0,1.04549522023528,0.655359731345175
Saan,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Saana,2,0,6,Female,0,0,1.05244648969589,0.557219222401941
Saania,6,0,18,Female,0,0,1.03083164145996,0.793289134893386
Saaniya,2,0,7,Female,0,0,1.05010879551787,0.59556076941544
Saaniyah,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Saanvi,9,0,207,Female,0,0,1.0037145979615,0.978065746178688
Saanya,3,0,9,Female,0,0,1.04549522023528,0.655359731345175
Saaqib,3,11,0,Male,1,1,1.04135282225748,0.699814210774485
Saara,17,0,317,Female,0,0,1.00245432522545,0.98557259986455
Saaraa,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Saarah,17,0,746,Female,0,0,1.00105637129487,0.993820600662991
Saarim,1,4,0,Male,1,1,1.05605943068294,0.454049732862461
Saariyah,2,0,7,Female,0,0,1.05010879551787,0.59556076941544
Saarrah,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Saathana,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Saatvik,2,8,0,Male,1,1,1.04776037949305,0.627832055623071
Saavan,3,10,0,Male,1,1,1.04335450588766,0.679112694249454
Saavin,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Saba,17,3,696,Female,0.00429184549356223,0.00429184549356223,0.999163050041593,0.986834561941617
Sabaa,17,0,113,Female,0,0,1.00661728443559,0.960505183398459
Sabaah,5,0,25,Female,0,0,1.0243949420667,0.842412806994256
Sabah,17,0,960,Female,0,0,1.00082262937657,0.99519179936009
Sabahat,10,0,39,Female,0,0,1.017133005255,0.893200141037433
Sabana,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Sabarin,2,0,7,Female,0,0,1.05010879551787,0.59556076941544
Sabastian,5,17,0,Male,1,1,1.03202273223858,0.783659132752567
Sabba,8,0,37,Female,0,0,1.01789725940812,0.888044914754675
Sabbah,6,0,24,Female,0,0,1.02515029757606,0.836873497748962
Sabbir,11,45,0,Male,1,1,1.01518475777118,0.906163643495931
Sabeeh,2,7,0,Male,1,1,1.05010879551787,0.59556076941544
Sabeeha,14,0,66,Female,0,0,1.01085287495175,0.934144568034709
Sabeehah,8,0,30,Female,0,0,1.02119830296566,0.865288303860374
Sabeeka,4,0,20,Female,0,0,1.02868440248967,0.810190439457511
Sabeel,8,36,0,Male,1,1,1.01830523879335,0.885276132612188
Sabeela,2,0,7,Female,0,0,1.05010879551787,0.59556076941544
Sabeen,10,0,49,Female,0,0,1.01411330356196,0.91318887721754
Sabeena,3,0,11,Female,0,0,1.04135282225748,0.699814210774485
Sabeeqa,1,0,5,Female,0,0,1.05457239484969,0.51094514036714
Sabeer,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Sabeera,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Sabeh,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Sabella,4,0,14,Female,0,0,1.03616388249591,0.748525314766452
Sabena,2,0,10,Female,0,0,1.04335450588766,0.679112694249454
Saber,4,15,0,Male,1,1,1.03467981392105,0.761436885043099
Sabera,2,0,8,Female,0,0,1.04776037949305,0.627832055623072
Sabery,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Sabha,10,0,91,Female,0,0,1.00809715516263,0.951398840908493
Sabia,9,0,57,Female,0,0,1.01236610687025,0.924495058276775
Sabiah,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Sabian,13,57,0,Male,1,1,1.01236610687025,0.924495058276776
Sabih,3,7,0,Male,1,1,1.05010879551787,0.59556076941544
Sabiha,17,0,318,Female,0,0,1.00244677807353,0.98561734879574
Sabihah,13,0,83,Female,0,0,1.0088135884368,0.946951101921225
Sabila,1,0,4,Female,0,0,1.05605943068294,0.454049732862462
Sabin,4,12,0,Male,1,1,1.03949131523292,0.718014678111836
Sabina,17,0,444,Female,0,0,1.0017634833378,0.989658796254601
Sabine,15,0,115,Female,0,0,1.00650910894661,0.961166659604073
Sabir,17,176,0,Male,1,1,1.00434298025881,0.974296768073507
Sabira,8,0,28,Female,0,0,1.02237307833611,0.856983616898048
Sabirah,10,0,50,Female,0,0,1.0138685214446,0.914783879422043
Sabiriin,2,0,6,Female,0,0,1.05244648969589,0.557219222401941
Sabirin,9,0,49,Female,0,0,1.01411330356196,0.91318887721754
Sabiya,9,0,37,Female,0,0,1.01789725940812,0.888044914754675
Sabiyah,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Saboor,2,8,0,Male,1,1,1.04776037949305,0.627832055623071
Sabra,2,0,6,Female,0,0,1.05244648969589,0.557219222401941
Sabreen,11,0,62,Female,0,0,1.01147724587183,0.930178682026801
Sabreena,3,0,20,Female,0,0,1.02868440248967,0.810190439457511
Sabrena,1,0,4,Female,0,0,1.05605943068294,0.454049732862462
Sabri,8,33,0,Male,1,1,1.01964734085817,0.876082661599378
Sabriin,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Sabrin,14,0,113,Female,0,0,1.00661728443559,0.960505183398459
Sabrina,17,0,2180,Female,0,0,1.0003637614707,0.997877201120623
Sabrine,13,0,67,Female,0,0,1.01070722189196,0.935066638716736
Sabriya,2,0,6,Female,0,0,1.05244648969589,0.557219222401941
Sabriyah,4,0,12,Female,0,0,1.03949131523292,0.718014678111836
Sabyrzhan,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Sacario,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Sacha,17,407,766,Unknown,0.346973572037511,0.346973572037511,0.679731928703765,0.625321906126079
Sachelle,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Sachi,12,0,57,Female,0,0,1.01236610687025,0.924495058276775
Sachin,17,610,0,Male,1,1,1.0012891587921,0.992452777720184
Sachit,1,4,0,Male,1,1,1.05605943068294,0.454049732862461
Sachjeevan,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Sachleen,2,0,6,Female,0,0,1.05244648969589,0.557219222401941
Sachpreet,2,0,6,Female,0,0,1.05244648969589,0.557219222401941
Sacson,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Sada,2,0,7,Female,0,0,1.05010879551787,0.59556076941544
Sadaf,17,0,228,Female,0,0,1.00338298793991,0.980047676962586
Sadah,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
