Name,years.appearing,count.male,count.female,prob.gender,obs.male,est.male,upper,lower
Xabi,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Xabier,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Xack,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Xafsa,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Xaiver,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Xan,5,16,0,Male,1,1,1.03330254928781,0.773089770177758
Xana,2,0,6,Female,0,0,1.05244648969589,0.557219222401941
Xanda,4,15,0,Male,1,1,1.03467981392105,0.761436885043099
Xandar,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Xander,14,1315,0,Male,1,1,1.00060175046231,0.99648549698885
Xane,3,9,0,Male,1,1,1.04549522023528,0.655359731345175
Xanna,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Xante,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Xanthe,17,0,656,Female,0,0,1.00119973641505,0.992978472957303
Xanthia,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Xanthie,2,0,8,Female,0,0,1.04776037949305,0.627832055623072
Xantia,3,0,9,Female,0,0,1.04549522023528,0.655359731345175
Xara,14,0,86,Female,0,0,1.0085305721243,0.948711230589953
Xaria,2,0,6,Female,0,0,1.05244648969589,0.557219222401941
Xaver,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Xavi,4,25,0,Male,1,1,1.0243949420667,0.842412806994256
Xavia,3,0,9,Female,0,0,1.04549522023528,0.655359731345175
Xavian,3,8,0,Male,1,1,1.04776037949305,0.627832055623071
Xaviar,2,6,0,Male,1,1,1.05244648969589,0.557219222401941
Xavier,17,2725,0,Male,1,1,1.00029119905153,0.998301075773281
Xavier-ian,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Xavier-troy,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Xaviera,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Xavion,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Xavior,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Xawery,1,4,0,Male,1,1,1.05605943068294,0.454049732862461
Xena,17,0,232,Female,0,0,1.00332642314168,0.980385266737176
Xenia,17,0,167,Female,0,0,1.00456727272836,0.972947208550293
Xeno,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Xenon,2,4,0,Male,1,1,1.05605943068294,0.454049732862461
Xerxes,1,4,0,Male,1,1,1.05605943068294,0.454049732862461
Xhesika,3,0,10,Female,0,0,1.04335450588766,0.679112694249454
Xhoana,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Xi,6,20,26,Unknown,0.434782608695652,0.434782608695652,0.697992008262076,0.422389700900675
Xia,7,0,24,Female,0,0,1.02515029757606,0.836873497748962
Xian,6,18,8,Unknown,0.692307692307692,0.692307692307692,0.836573819018042,0.498530441805336
Xiana,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Xiang,6,19,0,Male,1,1,1.02972128304972,0.802099492897666
Xiantao,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Xiao,9,37,38,Unknown,0.493333333333333,0.493333333333333,0.616700352271583,0.395983329828646
Xiaokai,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Xienna,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Ximena,1,0,4,Female,0,0,1.05605943068294,0.454049732862462
Xin,11,41,228,Unknown,0.152416356877323,0.152416356877323,0.885891984986346,0.799487725297686
Xincan,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Xing,6,8,13,Unknown,0.380952380952381,0.380952380952381,0.793235104683471,0.408041319382041
Xinyan,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Xinyang,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Xinyi,4,0,16,Female,0,0,1.03330254928781,0.773089770177758
Xiomara,2,0,6,Female,0,0,1.05244648969589,0.557219222401941
Xion,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Xirui,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Xiuhan,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Xolile,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Xsara,5,0,21,Female,0,0,1.02771445470298,0.817646526372173
Xu,4,17,3,Unknown,0.85,0.85,0.95606098872348,0.631151400639546
Xuan,4,6,10,Unknown,0.375,0.375,0.816286347362076,0.385311732504315
Xue,7,0,27,Female,0,0,1.02300960269013,0.852435367568002
Xuxian,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Xyla,2,0,6,Female,0,0,1.05244648969589,0.557219222401941
Xylia,3,0,10,Female,0,0,1.04335450588766,0.679112694249454
Xzavier,3,10,0,Male,1,1,1.04335450588766,0.679112694249454
