Name,years.appearing,count.male,count.female,prob.gender,obs.male,est.male,upper,lower
A,7,49,0,Male,1,1,1.01411330356196,0.91318887721754
A-jay,11,59,0,Male,1,1,1.01199460177782,0.926876027695395
A.j.,2,6,0,Male,1,1,1.05244648969589,0.557219222401941
A'isha,11,0,57,Female,0,0,1.01236610687025,0.924495058276775
A'ishah,14,0,72,Female,0,0,1.01003376499794,0.939315062405606
Aa'isha,2,0,6,Female,0,0,1.05244648969589,0.557219222401941
Aa'ishah,5,0,18,Female,0,0,1.03083164145996,0.793289134893386
Aaban,6,56,0,Male,1,1,1.01256058615218,0.923245477129057
Aabas,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Aabia,1,0,1,Female,0,0,1.03904982889782,0.167499485479413
Aabid,5,19,0,Male,1,1,1.02972128304972,0.802099492897666
Aabidammar,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Aadam,17,1089,0,Male,1,1,1.00072581807033,0.995759071124085
Aadarsh,2,8,0,Male,1,1,1.04776037949305,0.627832055623071
Aaden,4,18,1,Male,0.947368421052632,0.947368421052632,1.00907989873849,0.735180795530223
Aadham,2,6,0,Male,1,1,1.05244648969589,0.557219222401941
Aadhav,1,7,0,Male,1,1,1.05010879551787,0.59556076941544
Aadhithya,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Aadhya,2,0,20,Female,0,0,1.02868440248967,0.810190439457511
Aadi,8,108,0,Male,1,1,1.00690411721454,0.958748523038902
Aadil,17,488,0,Male,1,1,1.00160678427299,0.990582855799435
Aadila,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Aadit,6,38,0,Male,1,1,1.01750688194436,0.890683249830061
Aaditri,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Aaditya,10,70,0,Male,1,1,1.01029274843181,0.937684189157928
Aadityaram,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Aadvik,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Aadvika,1,0,1,Female,0,0,1.03904982889782,0.167499485479413
Aadya,6,7,41,Unknown,0.145833333333333,0.145833333333333,0.930669125441869,0.725176616044631
Aadyn,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Aaeedah,1,0,1,Female,0,0,1.03904982889782,0.167499485479413
Aaeesha,3,0,16,Female,0,0,1.03330254928781,0.773089770177758
Aaella,1,0,1,Female,0,0,1.03904982889782,0.167499485479413
Aafia,6,0,40,Female,0,0,1.01677461680296,0.895603781999753
Aafiya,2,0,7,Female,0,0,1.05010879551787,0.59556076941544
Aafiyah,5,0,26,Female,0,0,1.02368252405846,0.847588554082327
Aafreen,9,0,50,Female,0,0,1.0138685214446,0.914783879422043
