Name,years.appearing,count.male,count.female,prob.gender,obs.male,est.male,upper,lower
C,9,46,0,Male,1,1,1.01490202817531,0.908024408739109
C-jae,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
C-jay,10,48,0,Male,1,1,1.01436682751797,0.911533042815908
C'eryn,1,0,1,Female,0,0,1.03904982889782,0.167499485479413
Caan,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Cabdi,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Cabhan,5,13,0,Male,1,1,1.03776450540099,0.734140122244815
Cace,1,0,1,Female,0,0,1.03904982889782,0.167499485479413
Cacey,7,1,28,Female,0.0344827586206897,0.0344827586206897,1.00841807547574,0.813713491438294
Caci,1,0,1,Female,0,0,1.03904982889782,0.167499485479413
Cacia,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Cacie,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Cacy,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Cada,1,0,1,Female,0,0,1.03904982889782,0.167499485479413
Cadan,16,170,0,Male,1,1,1.00448997913863,0.973412537057718
Cadance,3,0,8,Female,0,0,1.04776037949305,0.627832055623072
Caddell,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Caddis,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Cade,17,529,3,Male,0.994360902255639,0.994360902255639,0.998893318575291,0.982740318279995
Cadee,7,0,30,Female,0,0,1.02119830296566,0.865288303860374
Cadel,2,10,0,Male,1,1,1.04335450588766,0.679112694249454
Cadell,9,28,0,Male,1,1,1.02237307833611,0.856983616898048
Caden,15,1454,17,Male,0.98844323589395,0.98844323589395,0.992914392346848,0.981427623471617
Caden-lee,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Cadence,9,0,320,Female,0,0,1.00243182214833,0.985706019020361
Cadence-lee,1,0,1,Female,0,0,1.03904982889782,0.167499485479413
Cadey,7,0,56,Female,0,0,1.01256058615218,0.923245477129057
Cadey-lee,1,0,1,Female,0,0,1.03904982889782,0.167499485479413
Cadha,2,0,3,Female,0,0,1.05597453703631,0.382528431208642
Cadhan,5,17,0,Male,1,1,1.03202273223858,0.783659132752567
Cadhla,10,0,109,Female,0,0,1.00684478064908,0.959112245599596
Cadhla-leigh,1,0,1,Female,0,0,1.03904982889782,0.167499485479413
Cadhla-rose,1,0,1,Female,0,0,1.03904982889782,0.167499485479413
Cadi,16,0,371,Female,0,0,1.00210388644997,0.987647890653929
Cadi-grace,1,0,1,Female,0,0,1.03904982889782,0.167499485479413
Cadi-li,1,0,1,Female,0,0,1.03904982889782,0.167499485479413
Cadie,13,0,124,Female,0,0,1.00606305284217,0.963888331817149
Cadie-lee,1,0,1,Female,0,0,1.03904982889782,0.167499485479413
Cadie-leigh,4,0,11,Female,0,0,1.04135282225748,0.699814210774485
Cadon,2,6,0,Male,1,1,1.05244648969589,0.557219222401941
Cadwyn,1,0,1,Female,0,0,1.03904982889782,0.167499485479413
Cady,10,0,114,Female,0,0,1.00656275140054,0.960838714440619
Cadyn,3,11,0,Male,1,1,1.04135282225748,0.699814210774485
Cadyn-lee,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Cadysse,1,0,1,Female,0,0,1.03904982889782,0.167499485479413
Cae,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Caeci-jane,1,0,1,Female,0,0,1.03904982889782,0.167499485479413
Caedan,3,11,0,Male,1,1,1.04135282225748,0.699814210774485
Caeden,9,72,0,Male,1,1,1.01003376499794,0.939315062405606
Caedmon,2,8,0,Male,1,1,1.04776037949305,0.627832055623071
Caedon,2,6,0,Male,1,1,1.05244648969589,0.557219222401941
Caedyn,2,4,0,Male,1,1,1.05605943068294,0.454049732862461
Cael,15,126,0,Male,1,1,1.00597210020395,0.964442135313847
Caela,4,0,14,Female,0,0,1.03616388249591,0.748525314766452
Caelab,1,4,0,Male,1,1,1.05605943068294,0.454049732862461
Caelah,1,0,1,Female,0,0,1.03904982889782,0.167499485479413
Caelainn,2,0,8,Female,0,0,1.04776037949305,0.627832055623072
Caelan,17,843,21,Male,0.975694444444444,0.975694444444444,0.98425746139305,0.962920149961231
Caelan-kole,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Caelean,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Caeleb,7,31,0,Male,1,1,1.02065523580291,0.869089368736657
Caeleb-lee,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Caelen,7,82,1,Male,0.987951807228916,0.987951807228916,1.00428443480041,0.928449781091156
Caeli,2,0,4,Female,0,0,1.05605943068294,0.454049732862462
Caelia,3,0,14,Female,0,0,1.03616388249591,0.748525314766452
Caelib,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Caelin,4,9,4,Unknown,0.692307692307692,0.692307692307692,0.876473182968754,0.420413212279632
Caelinn,3,0,3,Female,0,0,1.05597453703631,0.382528431208642
Caellan,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Caellin,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Caelum,9,40,0,Male,1,1,1.01677461680296,0.895603781999754
Caelyn,8,0,38,Female,0,0,1.01750688194436,0.89068324983006
Caen,1,4,0,Male,1,1,1.05605943068294,0.454049732862461
Caera,5,0,15,Female,0,0,1.03467981392105,0.761436885043099
Caeran,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Caeron,2,8,0,Male,1,1,1.04776037949305,0.627832055623071
Caerwyn,4,17,0,Male,1,1,1.03202273223858,0.783659132752567
Caesar,6,30,0,Male,1,1,1.02119830296566,0.865288303860374
Caetano,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Cagan,5,17,0,Male,1,1,1.03202273223858,0.783659132752567
Cagdas,3,9,0,Male,1,1,1.04549522023528,0.655359731345175
Caggie,1,0,1,Female,0,0,1.03904982889782,0.167499485479413
Cagla,10,0,49,Female,0,0,1.01411330356196,0.91318887721754
Cahal,9,43,0,Male,1,1,1.01578341117229,0.902206785601917
Cahan,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Cahill,2,5,0,Male,1,1,1.05457239484969,0.51094514036714
Cahir,16,207,0,Male,1,1,1.0037145979615,0.978065746178687
Cahl,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Cahla,1,0,1,Female,0,0,1.03904982889782,0.167499485479413
Cahlan,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Cahra,1,0,1,Female,0,0,1.03904982889782,0.167499485479413
Cai,17,1901,17,Male,0.991136600625652,0.991136600625652,0.994569085981877,0.985740705626056
Caia,7,0,37,Female,0,0,1.01789725940812,0.888044914754675
Caian,9,52,0,Male,1,1,1.01340344539561,0.917804318480525
Caicey,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Caid,1,4,0,Male,1,1,1.05605943068294,0.454049732862461
Caidah,1,0,1,Female,0,0,1.03904982889782,0.167499485479413
Caidan,10,98,0,Male,1,1,1.00755935105179,0.954720658826529
Caiddie,1,0,1,Female,0,0,1.03904982889782,0.167499485479413
Caide,1,4,0,Male,1,1,1.05605943068294,0.454049732862461
Caidee,3,0,4,Female,0,0,1.05605943068294,0.454049732862462
Caiden,16,1429,2,Male,0.998602375960867,0.998602375960867,0.999968537558608,0.994566427421329
Caiden-john,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Caiden-lee,3,10,0,Male,1,1,1.04335450588766,0.679112694249454
Caidence,5,0,14,Female,0,0,1.03616388249591,0.748525314766452
Caidenlee,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Caidin,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Caidon,5,23,0,Male,1,1,1.02595241573026,0.830930965819318
Caidy,2,0,5,Female,0,0,1.05457239484969,0.51094514036714
Caidyn,2,4,0,Male,1,1,1.05605943068294,0.454049732862461
Caidyn-james,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Caidynce,1,0,1,Female,0,0,1.03904982889782,0.167499485479413
Caie,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Caihla,1,0,1,Female,0,0,1.03904982889782,0.167499485479413
Caila,5,0,20,Female,0,0,1.02868440248967,0.810190439457511
Cailah,1,0,1,Female,0,0,1.03904982889782,0.167499485479413
Cailan,15,125,0,Male,1,1,1.00601723313431,0.964167373157361
Caile,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Cailean,13,106,0,Male,1,1,1.00702592741224,0.958001314014284
Caileb,3,11,0,Male,1,1,1.04135282225748,0.699814210774485
Caileen,1,0,1,Female,0,0,1.03904982889782,0.167499485479413
Caileigh,7,0,31,Female,0,0,1.02065523580291,0.869089368736657
Cailem,2,6,0,Male,1,1,1.05244648969589,0.557219222401941
Cailen,11,84,0,Male,1,1,1.00871718984614,0.947551081739203
Cailey,12,0,58,Female,0,0,1.01217753333152,0.925704610881274
Cailidh,1,0,1,Female,0,0,1.03904982889782,0.167499485479413
Cailie,1,0,1,Female,0,0,1.03904982889782,0.167499485479413
Cailin,17,4,180,Female,0.0217391304347826,0.0217391304347826,0.993465767903351,0.943494587414175
Caillan,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Caillen,5,10,0,Male,1,1,1.04335450588766,0.679112694249454
Caillin,2,2,0,Male,1,1,1.05215297529068,0.290227252215969
Cailloch,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Cailob,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Cailon,1,0,1,Female,0,0,1.03904982889782,0.167499485479413
Cailum,16,60,0,Male,1,1,1.01181706384686,0.928011084011049
Cailyn,10,0,86,Female,0,0,1.0085305721243,0.948711230589953
Cailynn,2,0,2,Female,0,0,1.05215297529068,0.290227252215969
Caimen,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Cain,17,1767,0,Male,1,1,1.00044844141708,0.997382274143846
Cainan,5,18,0,Male,1,1,1.03083164145996,0.793289134893386
