Name,years.appearing,count.male,count.female,prob.gender,obs.male,est.male,upper,lower
Ya,9,0,43,Female,0,0,1.01578341117229,0.902206785601917
Yaa,11,0,51,Female,0,0,1.0136320395752,0.916321340526268
Yaacov,3,9,0,Male,1,1,1.04549522023528,0.655359731345175
Yaakov,16,110,0,Male,1,1,1.00678645421258,0.959469610489254
Yaameen,2,7,0,Male,1,1,1.05010879551787,0.59556076941544
Yaara,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Yaaseen,14,74,0,Male,1,1,1.00978746281999,0.940862757783621
Yaasin,3,11,0,Male,1,1,1.04135282225748,0.699814210774485
Yaasir,8,45,0,Male,1,1,1.01518475777118,0.906163643495931
Yaathith,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Yacin,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Yacine,14,111,0,Male,1,1,1.00672911235782,0.959820782948786
Yacob,8,38,0,Male,1,1,1.01750688194436,0.890683249830061
Yacoub,10,43,0,Male,1,1,1.01578341117229,0.902206785601917
Yacqub,8,40,0,Male,1,1,1.01677461680296,0.895603781999754
Yacub,3,7,0,Male,1,1,1.05010879551787,0.59556076941544
Yad,11,92,0,Male,1,1,1.00801569531614,0.951902915398237
Yadav,2,4,0,Male,1,1,1.05605943068294,0.454049732862461
Yadavi,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Yadin,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Yael,17,3,143,Female,0.0205479452054795,0.0205479452054795,0.995695573819962,0.938625281715282
Yaelle,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Yafet,6,28,0,Male,1,1,1.02237307833611,0.856983616898048
Yafi,3,10,0,Male,1,1,1.04335450588766,0.679112694249454
Yafiet,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Yagiz,2,6,0,Male,1,1,1.05244648969589,0.557219222401941
Yagmur,17,0,177,Female,0,0,1.00431941077696,0.974438453455364
Yago,3,10,0,Male,1,1,1.04335450588766,0.679112694249454
Yahhya,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Yahia,10,63,0,Male,1,1,1.01131453662976,0.931214263781391
Yahiya,3,9,0,Male,1,1,1.04549522023528,0.655359731345175
Yahvi,2,0,8,Female,0,0,1.04776037949305,0.627832055623072
Yahya,17,1544,0,Male,1,1,1.00051291189459,0.997005271380061
Yahya-kamran,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Yahyaa,10,45,0,Male,1,1,1.01518475777118,0.906163643495931
Yahyah,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Yahye,16,166,0,Male,1,1,1.00459363176504,0.972788458289016
Yair,3,12,0,Male,1,1,1.03949131523292,0.718014678111836
Yaiza,2,0,6,Female,0,0,1.05244648969589,0.557219222401941
Yakira,3,0,11,Female,0,0,1.04135282225748,0.699814210774485
Yakob,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Yakoob,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Yakoub,3,11,0,Male,1,1,1.04135282225748,0.699814210774485
Yakov,16,137,0,Male,1,1,1.00551688855458,0.967208054421307
Yakub,11,75,0,Male,1,1,1.00966878043215,0.941607377085041
Yakup,5,14,0,Male,1,1,1.03616388249591,0.748525314766452
Yalda,8,0,45,Female,0,0,1.01518475777118,0.906163643495931
Yalin,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Yama,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Yamaan,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Yaman,3,10,0,Male,1,1,1.04335450588766,0.679112694249454
Yameen,14,79,0,Male,1,1,1.00922144210107,0.944407346245012
Yamen,3,11,0,Male,1,1,1.04135282225748,0.699814210774485
Yamikani,2,4,0,Male,1,1,1.05605943068294,0.454049732862461
Yamiko,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Yamin,17,109,0,Male,1,1,1.00684478064908,0.959112245599596
Yamina,9,0,34,Female,0,0,1.01917891017431,0.879306535672362
Yaminah,2,0,7,Female,0,0,1.05010879551787,0.59556076941544
Yamna,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Yamur,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Yan,16,99,62,Unknown,0.614906832298137,0.614906832298137,0.686609612269762,0.537848483798453
Yana,16,0,175,Female,0,0,1.00436680826406,0.974153503267588
Yanbo,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Yanet,2,0,6,Female,0,0,1.05244648969589,0.557219222401941
Yang,5,13,9,Unknown,0.590909090909091,0.590909090909091,0.767850459649988,0.386939563148445
Yanhong,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Yani,3,6,4,Unknown,0.6,0.6,0.832889373738208,0.311604066289214
Yanick,3,9,0,Male,1,1,1.04549522023528,0.655359731345175
Yanik,3,7,0,Male,1,1,1.05010879551787,0.59556076941544
Yanique,4,0,15,Female,0,0,1.03467981392105,0.761436885043099
Yanis,15,171,0,Male,1,1,1.00446479245634,0.973564109575219
Yaniss,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Yanky,2,6,0,Male,1,1,1.05244648969589,0.557219222401941
Yann,17,97,0,Male,1,1,1.00763177064496,0.954274186829091
Yanna,6,0,21,Female,0,0,1.02771445470298,0.817646526372173
Yannai,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Yanni,7,25,3,Unknown,0.892857142857143,0.892857142857143,0.971011585489867,0.719911532194112
Yannic,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Yannick,17,137,0,Male,1,1,1.00551688855458,0.967208054421307
Yannik,3,10,0,Male,1,1,1.04335450588766,0.679112694249454
Yannis,15,94,0,Male,1,1,1.00785758841732,0.952880335291131
Yanzheng,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Yao,1,4,0,Male,1,1,1.05605943068294,0.454049732862461
Yaphet,2,6,0,Male,1,1,1.05244648969589,0.557219222401941
Yaprak,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Yaqeen,2,7,0,Male,1,1,1.05010879551787,0.59556076941544
Yaqoob,13,98,0,Male,1,1,1.00755935105179,0.954720658826529
Yaqoub,5,23,0,Male,1,1,1.02595241573026,0.830930965819318
Yaqub,16,366,0,Male,1,1,1.00213207448178,0.987481153756764
Yaquub,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Yara,17,0,492,Female,0,0,1.00159390865162,0.990658738333906
Yarah,3,0,9,Female,0,0,1.04549522023528,0.655359731345175
Yaran,2,3,3,Unknown,0.5,0.5,0.812383693517349,0.187616306482651
Yared,2,6,0,Male,1,1,1.05244648969589,0.557219222401941
Yaren,17,0,104,Female,0,0,1.00715210770905,0.957226537918496
Yaris,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Yarogniew,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Yaron,1,4,0,Male,1,1,1.05605943068294,0.454049732862461
Yaroslav,4,11,0,Male,1,1,1.04135282225748,0.699814210774485
Yaroslava,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Yasa,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Yasamin,6,0,23,Female,0,0,1.02595241573026,0.830930965819318
Yasar,13,70,0,Male,1,1,1.01029274843181,0.937684189157928
Yaseen,17,816,0,Male,1,1,1.00096653857881,0.994347849612509
Yaseer,2,7,0,Male,1,1,1.05010879551787,0.59556076941544
Yasemin,17,0,412,Female,0,0,1.00189810728943,0.988864096095518
Yaser,11,64,0,Male,1,1,1.01115636084088,0.932219579366318
Yash,17,570,0,Male,1,1,1.00137850340112,0.991927210639503
Yasha,1,4,0,Male,1,1,1.05605943068294,0.454049732862461
Yashal,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Yashar,3,7,0,Male,1,1,1.05010879551787,0.59556076941544
Yashas,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Yasher,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Yashfa,5,0,17,Female,0,0,1.03202273223858,0.783659132752567
Yashi,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Yashica,4,0,21,Female,0,0,1.02771445470298,0.817646526372173
Yashika,5,0,26,Female,0,0,1.02368252405846,0.847588554082327
Yashil,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Yashita,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Yashraj,7,24,0,Male,1,1,1.02515029757606,0.836873497748962
Yashua,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Yashveer,4,16,0,Male,1,1,1.03330254928781,0.773089770177758
Yashvi,9,0,83,Female,0,0,1.0088135884368,0.946951101921225
Yashvir,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Yashwanth,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Yasiin,2,7,0,Male,1,1,1.05010879551787,0.59556076941544
Yasim,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Yasin,17,957,0,Male,1,1,1.0008251890384,0.995176795695475
Yasine,1,4,0,Male,1,1,1.05605943068294,0.454049732862461
Yasir,17,550,0,Male,1,1,1.00142798620197,0.991635987685299
Yasira,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Yasirah,2,0,7,Female,0,0,1.05010879551787,0.59556076941544
Yasmeen,17,0,301,Female,0,0,1.00258173944745,0.984816763251112
Yasmeenah,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Yasmen,2,0,7,Female,0,0,1.05010879551787,0.59556076941544
Yasmin,17,0,8132,Female,0,0,1.00009774914108,0.999430085952545
Yasmina,17,0,225,Female,0,0,1.0034266899767,0.979786759017678
Yasmine,17,0,1736,Female,0,0,1.00045641652416,0.997335647343944
Yasmyn,3,0,9,Female,0,0,1.04549522023528,0.655359731345175
Yasna,3,0,16,Female,0,0,1.03330254928781,0.773089770177758
Yassar,3,8,0,Male,1,1,1.04776037949305,0.627832055623071
Yasseen,3,11,0,Male,1,1,1.04135282225748,0.699814210774485
Yasser,17,227,0,Male,1,1,1.00339743093173,0.979961455984346
Yassin,17,269,14,Male,0.950530035335689,0.950530035335689,0.970992871591735,0.917999957577363
Yassine,14,84,0,Male,1,1,1.00871718984614,0.947551081739203
Yassir,14,87,0,Male,1,1,1.00844022260196,0.949272270453915
Yassmin,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Yassmine,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Yat,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Yatharth,1,4,0,Male,1,1,1.05605943068294,0.454049732862461
Yav,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Yavor,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Yavuz,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Yaw,16,96,0,Male,1,1,1.00770558922391,0.953818822918413
Yawar,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Yaya,3,8,0,Male,1,1,1.04776037949305,0.627832055623071
Yayra,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Yazan,11,74,0,Male,1,1,1.00978746281999,0.940862757783621
Yazdan,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Yazeed,4,11,0,Male,1,1,1.04135282225748,0.699814210774485
Yazen,2,6,0,Male,1,1,1.05244648969589,0.557219222401941
Yazid,7,24,0,Male,1,1,1.02515029757606,0.836873497748962
Yazmin,17,0,672,Female,0,0,1.00117147231194,0.993144563245574
Yazmina,2,0,6,Female,0,0,1.05244648969589,0.557219222401941
Yazmine,16,0,79,Female,0,0,1.00922144210107,0.944407346245012
Yazmyn,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Ye,7,4,27,Unknown,0.129032258064516,0.129032258064516,0.954774979972477,0.705358113718168
Yea,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Yecheskel,2,8,0,Male,1,1,1.04776037949305,0.627832055623071
Yechezkel,4,14,0,Male,1,1,1.03616388249591,0.748525314766452
Yechiel,9,44,0,Male,1,1,1.01547834165126,0.904226054590256
Yedidya,2,5,0,Male,1,1,1.05457239484969,0.51094514036714
Yee,5,0,21,Female,0,0,1.02771445470298,0.817646526372173
Yegor,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Yehonatan,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Yehoshua,15,58,0,Male,1,1,1.01217753333152,0.925704610881274
Yehuda,17,294,0,Male,1,1,1.00264173919235,0.984460597614938
Yehudah,13,51,0,Male,1,1,1.0136320395752,0.916321340526268
Yehudis,4,0,15,Female,0,0,1.03467981392105,0.761436885043099
Yehya,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Yekcan,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Yekta,2,3,3,Unknown,0.5,0.5,0.812383693517349,0.187616306482651
Yelda,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Yelena,8,0,41,Female,0,0,1.01643078408833,0.897901645727241
Yeliz,9,0,34,Female,0,0,1.01917891017431,0.879306535672362
Yemaya,2,0,6,Female,0,0,1.05244648969589,0.557219222401941
Yen,4,0,13,Female,0,0,1.03776450540099,0.734140122244815
Yena,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Yeong,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Yersultan,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Yesha,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Yeshaya,4,18,0,Male,1,1,1.03083164145996,0.793289134893386
Yeshua,3,10,0,Male,1,1,1.04335450588766,0.679112694249454
Yesim,5,0,21,Female,0,0,1.02771445470298,0.817646526372173
Yessine,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Yestin,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Yetunde,9,0,38,Female,0,0,1.01750688194436,0.89068324983006
Yeva,1,0,5,Female,0,0,1.05457239484969,0.51094514036714
Yewande,6,0,21,Female,0,0,1.02771445470298,0.817646526372173
Yezda,3,0,25,Female,0,0,1.0243949420667,0.842412806994256
Yi,14,147,160,Unknown,0.478827361563518,0.478827361563518,0.576446200207926,0.465375762825323
Yianna,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Yianni,5,17,0,Male,1,1,1.03202273223858,0.783659132752567
Yiannis,14,74,0,Male,1,1,1.00978746281999,0.940862757783621
Yichen,2,2,0,Male,1,1,1.05215297529068,0.290227252215969
Yidel,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Yigit,9,68,0,Male,1,1,1.01056541509481,0.935963248385124
Yihan,1,2,0,Male,1,1,1.05215297529068,0.290227252215969
Yiheng,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Yildiz,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Yilin,1,1,4,Unknown,0.2,0.2,0.979679368706283,0.359631152423812
Yilmaz,7,33,0,Male,1,1,1.01964734085817,0.876082661599378
Yilong,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Yiming,2,2,0,Male,1,1,1.05215297529068,0.290227252215969
Yin,5,13,3,Unknown,0.8125,0.8125,0.942016788842894,0.561978410823084
Ying,15,44,80,Unknown,0.354838709677419,0.354838709677419,0.723964627527719,0.557634161566923
Yiqi,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Yishai,8,30,0,Male,1,1,1.02119830296566,0.865288303860374
Yisrael,5,20,0,Male,1,1,1.02868440248967,0.810190439457511
Yisroel,17,253,0,Male,1,1,1.00305798146416,0.981985481385132
Yissochor,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
