Name,years.appearing,count.male,count.female,prob.gender,obs.male,est.male,upper,lower
Zaafir,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Zaahid,4,13,0,Male,1,1,1.03776450540099,0.734140122244815
Zaahir,3,9,0,Male,1,1,1.04549522023528,0.655359731345175
Zaahirah,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Zaakir,14,75,0,Male,1,1,1.00966878043215,0.941607377085041
Zaakirah,10,0,35,Female,0,0,1.01873201951779,0.882366988157802
Zaamin,2,6,0,Male,1,1,1.05244648969589,0.557219222401941
Zaara,9,0,500,Female,0,0,1.00156876666975,0.9908068928687
Zaarah,2,0,7,Female,0,0,1.05010879551787,0.59556076941544
Zaariya,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Zabian,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Zabir,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Zabiullah,1,4,0,Male,1,1,1.05605943068294,0.454049732862461
Zabrina,6,0,24,Female,0,0,1.02515029757606,0.836873497748962
Zac,17,4780,0,Male,1,1,1.00016619422218,0.999030798643544
Zac-james,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Zacaria,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Zacariah,8,28,0,Male,1,1,1.02237307833611,0.856983616898048
Zacarias,2,8,0,Male,1,1,1.04776037949305,0.627832055623071
Zacary,9,46,0,Male,1,1,1.01490202817531,0.908024408739109
Zaccai,2,8,0,Male,1,1,1.04776037949305,0.627832055623071
Zaccaria,2,7,0,Male,1,1,1.05010879551787,0.59556076941544
Zaccary,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Zacchaeus,6,25,0,Male,1,1,1.0243949420667,0.842412806994256
Zach,17,3382,0,Male,1,1,1.00023474861733,0.998630685908355
Zachari,11,51,0,Male,1,1,1.0136320395752,0.916321340526268
Zacharia,17,253,0,Male,1,1,1.00305798146416,0.981985481385132
Zachariah,17,1801,0,Male,1,1,1.00044000896321,0.997431572054653
Zacharias,17,296,0,Male,1,1,1.00262431375512,0.984564052937719
Zacharie,11,63,0,Male,1,1,1.01131453662976,0.931214263781391
Zacharius,2,7,0,Male,1,1,1.05010879551787,0.59556076941544
Zachariya,5,41,0,Male,1,1,1.01643078408833,0.897901645727241
Zachariyah,1,4,0,Male,1,1,1.05605943068294,0.454049732862461
Zacharry,2,2,0,Male,1,1,1.05215297529068,0.290227252215969
Zachary,17,14091,0,Male,1,1,1.00005643249613,0.999671023904715
Zacharya,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Zachery,17,444,0,Male,1,1,1.0017634833378,0.989658796254601
Zachory,2,6,0,Male,1,1,1.05244648969589,0.557219222401941
Zack,17,4769,0,Male,1,1,1.00016657698775,0.999028565181991
Zackari,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Zackaria,8,33,0,Male,1,1,1.01964734085817,0.876082661599378
Zackariah,10,52,0,Male,1,1,1.01340344539561,0.917804318480525
Zackariya,8,55,0,Male,1,1,1.01276125153464,0.921953847348276
Zackariyah,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Zackary,17,625,0,Male,1,1,1.00125856943746,0.992632643098208
Zackarya,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Zackery,17,245,0,Male,1,1,1.00315497525635,0.98140765012409
Zada,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Zade,9,49,0,Male,1,1,1.01411330356196,0.91318887721754
Zadie,10,0,49,Female,0,0,1.01411330356196,0.91318887721754
Zadok,3,10,0,Male,1,1,1.04335450588766,0.679112694249454
Zaeem,13,107,0,Male,1,1,1.00696449034658,0.958378271634675
Zaeemah,1,0,4,Female,0,0,1.05605943068294,0.454049732862462
Zafar,7,32,0,Male,1,1,1.0201388771232,0.872681924621729
Zafer,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Zafir,10,41,0,Male,1,1,1.01643078408833,0.897901645727241
Zafira,2,0,8,Female,0,0,1.04776037949305,0.627832055623072
Zafirah,9,0,48,Female,0,0,1.01436682751797,0.911533042815908
Zafraan,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Zafran,5,20,0,Male,1,1,1.02868440248967,0.810190439457511
Zafreen,3,0,12,Female,0,0,1.03949131523292,0.718014678111836
Zaha,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Zahan,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Zahara,14,0,199,Female,0,0,1.00385868354321,0.977203083400156
Zahed,2,6,0,Male,1,1,1.05244648969589,0.557219222401941
Zaheda,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Zaheed,2,6,0,Male,1,1,1.05244648969589,0.557219222401941
Zaheen,3,5,8,Unknown,0.384615384615385,0.384615384615385,0.82404341174039,0.354088425408641
Zaheer,16,111,0,Male,1,1,1.00672911235782,0.959820782948786
Zaheera,3,0,9,Female,0,0,1.04549522023528,0.655359731345175
Zaher,2,7,0,Male,1,1,1.05010879551787,0.59556076941544
Zahi,5,21,0,Male,1,1,1.02771445470298,0.817646526372173
Zahia,1,0,5,Female,0,0,1.05457239484969,0.51094514036714
Zahid,17,272,0,Male,1,1,1.00284989267961,0.983223778634637
Zahida,6,0,27,Female,0,0,1.02300960269013,0.852435367568002
Zahil,2,5,0,Male,1,1,1.05457239484969,0.51094514036714
Zahin,10,33,3,Male,0.916666666666667,0.916666666666667,0.978657120201073,0.774327355970208
Zahir,16,161,0,Male,1,1,1.00473012399263,0.971965915655545
Zahira,16,0,106,Female,0,0,1.00702592741224,0.958001314014284
Zahirah,11,0,52,Female,0,0,1.01340344539561,0.917804318480525
Zahiya,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Zahra,17,0,4435,Female,0,0,1.00017910178274,0.998955478972995
Zahraa,17,0,592,Female,0,0,1.00132788767189,0.992224996633447
Zahrah,17,0,462,Female,0,0,1.00169582695052,0.990057893659883
Zai,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Zaib,4,9,3,Unknown,0.75,0.75,0.917251086676521,0.461501909995859
Zaib-un-nisa,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Zaiba,15,0,95,Female,0,0,1.00778084765702,0.953354298803511
Zaibaa,8,0,34,Female,0,0,1.01917891017431,0.879306535672362
Zaid,17,802,0,Male,1,1,1.00098326171311,0.994249722667817
Zaida,4,0,16,Female,0,0,1.03330254928781,0.773089770177758
Zaidaan,2,6,0,Male,1,1,1.05244648969589,0.557219222401941
Zaidan,7,35,0,Male,1,1,1.01873201951779,0.882366988157803
Zaide,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Zaiden,7,41,0,Male,1,1,1.01643078408833,0.897901645727241
Zaidyn,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Zaier,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Zaigham,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Zaiidyn,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Zail,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Zaila,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Zaim,10,49,0,Male,1,1,1.01411330356196,0.91318887721754
Zaima,8,0,47,Female,0,0,1.01462956650744,0.909812829328562
Zaimah,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Zain,17,4697,3,Male,0.99936170212766,0.99936170212766,0.999877701781046,0.998030080845802
Zain-ali,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Zain-ul,6,20,0,Male,1,1,1.02868440248967,0.810190439457511
Zain-ul-abideen,11,47,0,Male,1,1,1.01462956650744,0.909812829328562
Zain-ul-abidin,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Zaina,17,0,864,Female,0,0,1.00091328269852,0.994660265002329
Zainab,17,0,5011,Female,0,0,1.00015854378255,0.999075438218225
Zainah,14,0,103,Female,0,0,1.00721691070304,0.956828331068317
Zaine,17,235,0,Male,1,1,1.00328522522835,0.980631056142308
Zaineb,16,0,109,Female,0,0,1.00684478064908,0.959112245599596
Zainedine,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Zainib,2,0,6,Female,0,0,1.05244648969589,0.557219222401941
Zainish,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Zainub,13,0,86,Female,0,0,1.0085305721243,0.948711230589953
Zainud-deen,2,7,0,Male,1,1,1.05010879551787,0.59556076941544
Zainuddin,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Zainudin,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Zainul,11,52,0,Male,1,1,1.01340344539561,0.917804318480525
Zaira,17,0,134,Female,0,0,1.0056340140097,0.966497310966402
Zairah,6,0,23,Female,0,0,1.02595241573026,0.830930965819318
Zaire,3,10,0,Male,1,1,1.04335450588766,0.679112694249454
Zaiyan,3,13,0,Male,1,1,1.03776450540099,0.734140122244815
Zaiyn-sadiq,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Zak,17,8504,0,Male,1,1,1.0000934767696,0.999455003436653
Zakai,5,29,0,Male,1,1,1.02177015430911,0.861260047191147
Zakar,4,10,0,Male,1,1,1.04335450588766,0.679112694249454
Zakaraya,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Zakareeya,2,8,0,Male,1,1,1.04776037949305,0.627832055623071
Zakareya,1,4,0,Male,1,1,1.05605943068294,0.454049732862461
Zakari,15,69,0,Male,1,1,1.01042730468112,0.936835437129825
Zakaria,17,1146,0,Male,1,1,1.00068994077825,0.995969199670002
Zakariah,17,208,0,Male,1,1,1.00369734012299,0.978169010108551
Zakarias,2,7,0,Male,1,1,1.05010879551787,0.59556076941544
Zakarie,4,11,0,Male,1,1,1.04135282225748,0.699814210774485
Zakariya,17,1754,0,Male,1,1,1.0004517516349,0.997362921126727
Zakariyah,13,125,0,Male,1,1,1.00601723313431,0.964167373157361
Zakariye,15,92,0,Male,1,1,1.00801569531614,0.951902915398237
Zakariyya,17,323,0,Male,1,1,1.00240972792255,0.985836993180227
Zakariyyaa,4,14,0,Male,1,1,1.03616388249591,0.748525314766452
Zakariyyah,4,21,0,Male,1,1,1.02771445470298,0.817646526372173
Zakary,17,362,0,Male,1,1,1.00215517458499,0.987344487828676
Zakarya,7,28,0,Male,1,1,1.02237307833611,0.856983616898048
Zakee,4,12,0,Male,1,1,1.03949131523292,0.718014678111836
Zaker,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Zakeria,3,10,0,Male,1,1,1.04335450588766,0.679112694249454
Zakeriya,2,9,0,Male,1,1,1.04549522023528,0.655359731345175
Zakery,11,47,0,Male,1,1,1.01462956650744,0.909812829328562
Zakhary,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Zakhele,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Zakhia,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Zaki,17,557,0,Male,1,1,1.00141026815788,0.991740275974906
Zakia,17,0,211,Female,0,0,1.00364651525826,0.978473049364968
Zakiah,2,11,0,Male,1,1,1.04135282225748,0.699814210774485
Zakir,17,455,0,Male,1,1,1.00172151159513,0.989906405309834
Zakira,11,0,46,Female,0,0,1.01490202817531,0.908024408739109
Zakirah,9,0,55,Female,0,0,1.01276125153464,0.921953847348276
Zakiriya,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Zakiy,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Zakiya,17,0,151,Female,0,0,1.00502896519172,0.970162053738533
Zakiyah,16,0,169,Female,0,0,1.00451545146952,0.973259216443461
Zakiyya,7,0,27,Female,0,0,1.02300960269013,0.852435367568002
Zakiyyah,15,0,88,Female,0,0,1.00835176357281,0.949821169762296
Zakk,17,313,0,Male,1,1,1.00248498517655,0.985390784506516
Zakkai,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Zakkary,3,9,0,Male,1,1,1.04549522023528,0.655359731345175
Zakki,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Zakkiyah,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Zakria,6,20,0,Male,1,1,1.02868440248967,0.810190439457511
Zakriya,11,39,0,Male,1,1,1.017133005255,0.893200141037434
Zakwan,2,7,0,Male,1,1,1.05010879551787,0.59556076941544
Zaky,3,8,0,Male,1,1,1.04776037949305,0.627832055623071
Zal,2,4,0,Male,1,1,1.05605943068294,0.454049732862461
Zala,3,0,14,Female,0,0,1.03616388249591,0.748525314766452
Zalan,3,12,0,Male,1,1,1.03949131523292,0.718014678111836
Zalekha,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Zalika,2,0,8,Female,0,0,1.04776037949305,0.627832055623072
Zalman,6,19,0,Male,1,1,1.02972128304972,0.802099492897666
Zam,2,0,6,Female,0,0,1.05244648969589,0.557219222401941
Zamaan,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Zaman,7,31,0,Male,1,1,1.02065523580291,0.869089368736657
Zameer,6,25,0,Male,1,1,1.0243949420667,0.842412806994256
Zamin,4,11,0,Male,1,1,1.04135282225748,0.699814210774485
Zamir,9,30,0,Male,1,1,1.02119830296566,0.865288303860374
Zamira,2,0,7,Female,0,0,1.05010879551787,0.59556076941544
Zamzam,14,0,83,Female,0,0,1.0088135884368,0.946951101921225
Zan,5,17,0,Male,1,1,1.03202273223858,0.783659132752567
Zana,17,8,98,Female,0.0754716981132075,0.0754716981132075,0.963285506196729,0.85607724595787
Zanab,7,0,24,Female,0,0,1.02515029757606,0.836873497748962
Zanaira,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Zanda,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Zandar,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Zander,13,378,0,Male,1,1,1.00206565252047,0.98787399721647
Zandile,2,0,6,Female,0,0,1.05244648969589,0.557219222401941
Zandra,2,0,6,Female,0,0,1.05244648969589,0.557219222401941
Zane,17,1641,0,Male,1,1,1.00048272478777,0.997181816800663
Zaneb,1,0,4,Female,0,0,1.05605943068294,0.454049732862462
Zanele,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Zanera,1,0,4,Female,0,0,1.05605943068294,0.454049732862462
Zaneta,6,0,27,Female,0,0,1.02300960269013,0.852435367568002
Zania,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Zanib,8,0,40,Female,0,0,1.01677461680296,0.895603781999753
Zanna,5,0,18,Female,0,0,1.03083164145996,0.793289134893386
Zanthe,2,0,7,Female,0,0,1.05010879551787,0.59556076941544
Zanya,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Zanyar,1,4,0,Male,1,1,1.05605943068294,0.454049732862461
Zara,17,0,11033,Female,0,0,1.00007206371541,0.99957987847883
Zara-jane,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Zara-louise,3,0,9,Female,0,0,1.04549522023528,0.655359731345175
Zara-rose,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Zaraah,1,0,4,Female,0,0,1.05605943068294,0.454049732862462
Zarah,17,0,709,Female,0,0,1.00111094854353,0.993500112901956
Zarak,2,8,0,Male,1,1,1.04776037949305,0.627832055623071
Zarar,5,13,0,Male,1,1,1.03776450540099,0.734140122244815
Zareen,11,0,87,Female,0,0,1.00844022260196,0.949272270453916
Zareena,9,0,35,Female,0,0,1.01873201951779,0.882366988157802
Zareenah,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Zarena,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Zargham,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Zari,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Zaria,12,0,82,Female,0,0,1.00891213860415,0.946337237705754
Zariah,5,0,30,Female,0,0,1.02119830296566,0.865288303860374
Zarif,7,37,0,Male,1,1,1.01789725940812,0.888044914754675
Zarifah,1,0,4,Female,0,0,1.05605943068294,0.454049732862462
Zarin,17,0,108,Female,0,0,1.00690411721454,0.958748523038902
Zarina,17,0,150,Female,0,0,1.00506093815037,0.969968817481557
Zarine,2,0,7,Female,0,0,1.05010879551787,0.59556076941544
Zarish,3,0,9,Female,0,0,1.04549522023528,0.655359731345175
Zariya,6,0,38,Female,0,0,1.01750688194436,0.89068324983006
Zariyah,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Zarka,3,0,9,Female,0,0,1.04549522023528,0.655359731345175
Zarmeen,1,0,5,Female,0,0,1.05457239484969,0.51094514036714
Zarqa,4,0,14,Female,0,0,1.03616388249591,0.748525314766452
Zarqaa,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Zarra,1,0,4,Female,0,0,1.05605943068294,0.454049732862462
Zarrah,6,0,27,Female,0,0,1.02300960269013,0.852435367568002
Zarrar,5,21,0,Male,1,1,1.02771445470298,0.817646526372173
Zarrin,8,0,38,Female,0,0,1.01750688194436,0.89068324983006
Zartasha,2,0,6,Female,0,0,1.05244648969589,0.557219222401941
Zaryaab,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Zaryab,5,18,0,Male,1,1,1.03083164145996,0.793289134893386
Zavannah,1,0,4,Female,0,0,1.05605943068294,0.454049732862462
Zavian,2,6,0,Male,1,1,1.05244648969589,0.557219222401941
Zaviar,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Zavier,16,192,0,Male,1,1,1.00399424664202,0.976390607291225
Zavion,2,6,0,Male,1,1,1.05244648969589,0.557219222401941
Zaviyar,2,15,0,Male,1,1,1.03467981392105,0.761436885043099
Zaya,1,0,5,Female,0,0,1.05457239484969,0.51094514036714
Zayaan,11,197,0,Male,1,1,1.00389646800452,0.976976710057169
Zayan,14,547,0,Male,1,1,1.0014357166687,0.991590482141899
Zayana,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Zayba,11,0,51,Female,0,0,1.0136320395752,0.916321340526268
Zayd,17,636,0,Male,1,1,1.00123704404577,0.992759189290255
