Name,years.appearing,count.male,count.female,prob.gender,obs.male,est.male,upper,lower
B'elanna,2,0,4,Female,0,0,1.05605943068294,0.454049732862462
Baaba,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Baani,2,0,6,Female,0,0,1.05244648969589,0.557219222401941
Baasit,2,4,0,Male,1,1,1.05605943068294,0.454049732862461
Babafemi,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Babajide,4,14,0,Male,1,1,1.03616388249591,0.748525314766452
Babak,4,12,0,Male,1,1,1.03949131523292,0.718014678111836
Baban,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Babar,7,22,0,Male,1,1,1.02680555394299,0.824539571448393
Babatunde,15,85,0,Male,1,1,1.00862287327457,0.948137642911382
Baber,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Babette,1,0,4,Female,0,0,1.05605943068294,0.454049732862462
Babita,3,0,8,Female,0,0,1.04776037949305,0.627832055623072
Baboucarr,5,19,0,Male,1,1,1.02972128304972,0.802099492897666
Babucarr,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Baby,15,115,97,Unknown,0.542452830188679,0.542452830188679,0.608168729587557,0.475225814251925
Bachir,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Badal,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Badar,4,17,0,Male,1,1,1.03202273223858,0.783659132752567
Badarish,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Baden,15,80,0,Male,1,1,1.00911598770442,0.945065882760049
Bader,9,50,0,Male,1,1,1.0138685214446,0.914783879422043
Badr,11,57,0,Male,1,1,1.01236610687025,0.924495058276776
Badriya,2,0,5,Female,0,0,1.05457239484969,0.51094514036714
Baffour,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Bagryana,1,0,1,Female,0,0,1.03904982889782,0.167499485479413
Bahand,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Bahar,14,0,78,Female,0,0,1.00932935939332,0.943732830894487
Bahara,4,0,16,Female,0,0,1.03330254928781,0.773089770177758
Baheer,1,4,0,Male,1,1,1.05605943068294,0.454049732862461
Bahez,1,4,0,Male,1,1,1.05605943068294,0.454049732862461
Bahily,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Bahja,9,0,41,Female,0,0,1.01643078408833,0.897901645727241
Bahram,2,7,0,Male,1,1,1.05010879551787,0.59556076941544
Bai,5,17,1,Male,0.944444444444444,0.944444444444444,1.00901410433943,0.72353769686354
Baiden,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Baila,3,0,11,Female,0,0,1.04135282225748,0.699814210774485
Bailea,3,0,9,Female,0,0,1.04549522023528,0.655359731345175
Bailee,16,150,123,Unknown,0.549450549450549,0.549450549450549,0.607381856147441,0.490146888698133
Baileigh,13,33,79,Unknown,0.294642857142857,0.294642857142857,0.782112068293513,0.614982378446849
Bailey,17,12638,1449,Unknown,0.897139206360474,0.897139206360474,0.902049007896574,0.892012867875637
Bailey-anne,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Bailey-grace,1,0,1,Female,0,0,1.03904982889782,0.167499485479413
Bailey-james,7,33,0,Male,1,1,1.01964734085817,0.876082661599378
Bailey-jay,6,30,1,Male,0.967741935483871,0.967741935483871,1.00819159044437,0.824150136382963
Bailey-joe,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Bailey-lee,3,9,0,Male,1,1,1.04549522023528,0.655359731345175
Bailey-mae,2,0,9,Female,0,0,1.04549522023528,0.655359731345175
Bailey-mai,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Bailey-marie,1,0,1,Female,0,0,1.03904982889782,0.167499485479413
Bailey-may,2,0,9,Female,0,0,1.04549522023528,0.655359731345175
Bailey-rae,7,9,43,Unknown,0.173076923076923,0.173076923076923,0.90846416555405,0.700402449288041
Bailey-ray,3,11,0,Male,1,1,1.04135282225748,0.699814210774485
Bailey-rose,3,0,8,Female,0,0,1.04776037949305,0.627832055623072
Baili,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Bailidh,1,0,1,Female,0,0,1.03904982889782,0.167499485479413
Bailie,17,119,86,Unknown,0.580487804878049,0.580487804878049,0.645967854370955,0.51204674764508
Bailin,1,4,0,Male,1,1,1.05605943068294,0.454049732862461
Baille,1,0,1,Female,0,0,1.03904982889782,0.167499485479413
Bailley,2,1,2,Unknown,0.333333333333333,0.333333333333333,0.943725385624685,0.202442270456966
Baillie,16,103,54,Unknown,0.656050955414013,0.656050955414013,0.72592227286561,0.578725548406797
Baily,15,105,3,Male,0.972222222222222,0.972222222222222,0.994011907940853,0.91799336340962
Bajan,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Bakari,2,6,0,Male,1,1,1.05244648969589,0.557219222401941
Bakary,6,19,0,Male,1,1,1.02972128304972,0.802099492897666
Baker,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Bakhtawar,5,0,20,Female,0,0,1.02868440248967,0.810190439457511
Bakhtiyar,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Bakir,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Bakr,1,4,0,Male,1,1,1.05605943068294,0.454049732862461
Balaal,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Balaji,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Balal,7,42,0,Male,1,1,1.01610064702825,0.900100562106044
Balazs,5,18,0,Male,1,1,1.03083164145996,0.793289134893386
Balbir,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Baldeep,7,25,8,Unknown,0.757575757575758,0.757575757575758,0.873956277258952,0.587480390673725
Baldev,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Baldwin,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Balen,3,11,0,Male,1,1,1.04135282225748,0.699814210774485
Baley,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Balfour,3,3,0,Male,1,1,1.05597453703631,0.382528431208642
Bali,3,0,10,Female,0,0,1.04335450588766,0.679112694249454
Balian,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Balin,4,12,0,Male,1,1,1.03949131523292,0.718014678111836
Balint,3,10,0,Male,1,1,1.04335450588766,0.679112694249454
Baljeet,4,13,3,Unknown,0.8125,0.8125,0.942016788842894,0.561978410823084
Baljinder,3,9,4,Unknown,0.692307692307692,0.692307692307692,0.876473182968754,0.420413212279632
Baljit,4,3,8,Unknown,0.272727272727273,0.272727272727273,0.90795490065357,0.428939205270052
Ballal,2,6,0,Male,1,1,1.05244648969589,0.557219222401941
Ballena,1,0,1,Female,0,0,1.03904982889782,0.167499485479413
Balmeet,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Balpreet,4,0,12,Female,0,0,1.03949131523292,0.718014678111836
Balqis,7,0,27,Female,0,0,1.02300960269013,0.852435367568002
