Name,years.appearing,count.male,count.female,prob.gender,obs.male,est.male,upper,lower
D,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
D-jay,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
D',2,7,0,Male,1,1,1.05010879551787,0.59556076941544
D'andre,14,98,0,Male,1,1,1.00755935105179,0.954720658826529
D'angelo,11,49,0,Male,1,1,1.01411330356196,0.91318887721754
D'arci,2,0,2,Female,0,0,1.05215297529068,0.290227252215969
D'arcie,3,0,5,Female,0,0,1.05457239484969,0.51094514036714
D'arcy,17,23,173,Unknown,0.11734693877551,0.11734693877551,0.921103326502459,0.829491674580805
D'lana,1,0,1,Female,0,0,1.03904982889782,0.167499485479413
D'marco,2,6,0,Male,1,1,1.05244648969589,0.557219222401941
D'mari,1,6,0,Male,1,1,1.05244648969589,0.557219222401941
D'shaun,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Da,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Da-xia,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Daamin,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Daan,2,4,0,Male,1,1,1.05605943068294,0.454049732862461
Daania,8,0,57,Female,0,0,1.01236610687025,0.924495058276775
Daanish,17,272,0,Male,1,1,1.00284989267961,0.983223778634637
Daaniya,4,0,9,Female,0,0,1.04549522023528,0.655359731345175
Daaniyal,3,10,0,Male,1,1,1.04335450588766,0.679112694249454
Daanya,6,0,36,Female,0,0,1.01830523879335,0.885276132612188
Daanyaal,16,339,0,Male,1,1,1.00229835839926,0.986496874143773
Daanyal,15,98,0,Male,1,1,1.00755935105179,0.954720658826529
Daavid,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Dabira,1,0,1,Female,0,0,1.03904982889782,0.167499485479413
Dacey,3,0,9,Female,0,0,1.04549522023528,0.655359731345175
Dacia,4,0,12,Female,0,0,1.03949131523292,0.718014678111836
Dacian,2,4,0,Male,1,1,1.05605943068294,0.454049732862461
Daciana,1,0,1,Female,0,0,1.03904982889782,0.167499485479413
Dacre,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Dade,5,19,0,Male,1,1,1.02972128304972,0.802099492897666
Daegan,4,11,1,Male,0.916666666666667,0.916666666666667,1.00658842215984,0.624666572294123
Daejon,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Dael,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Daemon,3,7,0,Male,1,1,1.05010879551787,0.59556076941544
Daemyn,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Daena,4,0,15,Female,0,0,1.03467981392105,0.761436885043099
Daetyn,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Daffydd,2,8,0,Male,1,1,1.04776037949305,0.627832055623071
Dafi,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Dafina,1,0,4,Female,0,0,1.05605943068294,0.454049732862462
Dafne,1,0,4,Female,0,0,1.05605943068294,0.454049732862462
Dafyd,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Dafydd,16,1151,0,Male,1,1,1.0006869621243,0.995986642904904
Dagan,8,46,0,Male,1,1,1.01490202817531,0.908024408739109
Dagmara,7,0,32,Female,0,0,1.0201388771232,0.872681924621729
Daha,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Dahabo,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Dahen,4,14,0,Male,1,1,1.03616388249591,0.748525314766452
Dahir,12,52,0,Male,1,1,1.01340344539561,0.917804318480525
Dahlia,15,0,137,Female,0,0,1.00551688855458,0.967208054421307
Dahnish,2,6,0,Male,1,1,1.05244648969589,0.557219222401941
Dahra,1,0,1,Female,0,0,1.03904982889782,0.167499485479413
Dai,2,7,0,Male,1,1,1.05010879551787,0.59556076941544
Daiana,5,0,29,Female,0,0,1.02177015430911,0.861260047191147
Daies,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Daigan,2,3,0,Male,1,1,1.05597453703631,0.382528431208642
Daija,2,0,7,Female,0,0,1.05010879551787,0.59556076941544
