Name,years.appearing,count.male,count.female,prob.gender,obs.male,est.male,upper,lower
Faa'izah,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Faaiz,4,14,0,Male,1,1,1.03616388249591,0.748525314766452
Faaiza,10,0,50,Female,0,0,1.0138685214446,0.914783879422043
Faaizah,15,0,104,Female,0,0,1.00715210770905,0.957226537918496
Faakhir,2,6,0,Male,1,1,1.05244648969589,0.557219222401941
Faaria,7,0,28,Female,0,0,1.02237307833611,0.856983616898048
Faariha,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Faaris,16,130,0,Male,1,1,1.00579813667497,0.965500302130603
Faatima,12,0,67,Female,0,0,1.01070722189196,0.935066638716736
Faatima-zahra,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Faatimah,17,0,301,Female,0,0,1.00258173944745,0.984816763251112
Faaz,1,7,0,Male,1,1,1.05010879551787,0.59556076941544
Fabbiha,9,0,47,Female,0,0,1.01462956650744,0.909812829328562
Fabeha,1,0,1,Female,0,0,1.03904982889782,0.167499485479413
Fabia,11,0,48,Female,0,0,1.01436682751797,0.911533042815908
Fabian,17,1417,0,Male,1,1,1.00055865174083,0.996737697688699
Fabiana,12,0,59,Female,0,0,1.01199460177782,0.926876027695395
Fabiano,3,11,0,Male,1,1,1.04135282225748,0.699814210774485
Fabien,17,221,0,Male,1,1,1.00348674605634,0.979428064936068
Fabienne,16,0,117,Female,0,0,1.00640441000768,0.96180634432959
Fabiha,17,0,163,Female,0,0,1.00467456564625,0.972300828552248
Fabio,17,559,0,Male,1,1,1.00140528632878,0.991769596650265
Fabiola,5,0,18,Female,0,0,1.03083164145996,0.793289134893386
Fabliha,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Fabrice,2,6,0,Male,1,1,1.05244648969589,0.557219222401941
Fabricio,3,12,0,Male,1,1,1.03949131523292,0.718014678111836
Fabrizio,13,69,0,Male,1,1,1.01042730468112,0.936835437129825
Faby,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Fadhil,2,6,0,Male,1,1,1.05244648969589,0.557219222401941
Fadi,8,36,0,Male,1,1,1.01830523879335,0.885276132612188
Fadia,2,0,6,Female,0,0,1.05244648969589,0.557219222401941
Fadil,10,44,0,Male,1,1,1.01547834165126,0.904226054590256
Fadila,2,0,8,Female,0,0,1.04776037949305,0.627832055623072
Fadima,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Fadime,4,0,14,Female,0,0,1.03616388249591,0.748525314766452
Faduma,15,0,89,Female,0,0,1.008265136424,0.950358318339745
Fadumo,13,0,61,Female,0,0,1.01164468547158,0.929111446630308
Fadwa,3,0,10,Female,0,0,1.04335450588766,0.679112694249454
Fadzai,3,0,13,Female,0,0,1.03776450540099,0.734140122244815
Fae,17,0,178,Female,0,0,1.00429609563569,0.974578585388061
Faeeza,2,0,6,Female,0,0,1.05244648969589,0.557219222401941
Faelan,2,4,0,Male,1,1,1.05605943068294,0.454049732862461
Faeza,3,0,10,Female,0,0,1.04335450588766,0.679112694249454
Faezah,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Fafa,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Faha,1,0,1,Female,0,0,1.03904982889782,0.167499485479413
Fahad,17,524,0,Male,1,1,1.00149788450185,0.991224440058867
Fahd,16,98,0,Male,1,1,1.00755935105179,0.954720658826529
Fahed,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Faheem,17,352,0,Male,1,1,1.00221517553067,0.986989402166863
Faheema,12,0,76,Female,0,0,1.00955293513807,0.942333479796788
Faheemah,14,0,67,Female,0,0,1.01070722189196,0.935066638716736
Fahema,2,0,10,Female,0,0,1.04335450588766,0.679112694249454
Fahid,2,8,0,Male,1,1,1.04776037949305,0.627832055623071
Fahim,17,424,0,Male,1,1,1.00184528179645,0.98917602120845
Fahima,17,0,517,Female,0,0,1.00151788799465,0.991106626134099
Fahimah,5,0,19,Female,0,0,1.02972128304972,0.802099492897666
Fahimul,2,6,0,Male,1,1,1.05244648969589,0.557219222401941
Fahiye,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Fahiza,3,0,11,Female,0,0,1.04135282225748,0.699814210774485
Fahmeda,1,0,4,Female,0,0,1.05605943068294,0.454049732862462
Fahmi,5,15,0,Male,1,1,1.03467981392105,0.761436885043099
Fahmid,5,15,0,Male,1,1,1.03467981392105,0.761436885043099
Fahmida,17,0,403,Female,0,0,1.00193975463497,0.988618093545428
Fahmidah,2,0,8,Female,0,0,1.04776037949305,0.627832055623072
Fahmina,2,0,6,Female,0,0,1.05244648969589,0.557219222401941
Fahra,1,0,1,Female,0,0,1.03904982889782,0.167499485479413
Fahrin,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Fahtima,2,0,9,Female,0,0,1.04549522023528,0.655359731345175
Fai,3,1,9,Unknown,0.1,0.1,1.00394149750452,0.574032262605168
Faie,1,0,1,Female,0,0,1.03904982889782,0.167499485479413
Faiga,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Faige,1,0,4,Female,0,0,1.05605943068294,0.454049732862462
Faigy,11,0,50,Female,0,0,1.0138685214446,0.914783879422043
Faima,1,0,5,Female,0,0,1.05457239484969,0.51094514036714
Fainche,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Faiq,4,13,0,Male,1,1,1.03776450540099,0.734140122244815
Faiqa,5,0,16,Female,0,0,1.03330254928781,0.773089770177758
Faiqah,1,0,1,Female,0,0,1.03904982889782,0.167499485479413
Fairlight,1,0,1,Female,0,0,1.03904982889782,0.167499485479413
Faisa,13,0,64,Female,0,0,1.01115636084088,0.932219579366318
Faisal,17,744,0,Male,1,1,1.00105918395876,0.993804087159224
Faisel,1,4,0,Male,1,1,1.05605943068294,0.454049732862461
Faith,17,6,10256,Female,0.000584681348664978,0.000584681348664978,0.999765554897614,0.998691321834387
Faith-anne,1,0,1,Female,0,0,1.03904982889782,0.167499485479413
Faith-holly,1,0,1,Female,0,0,1.03904982889782,0.167499485479413
