Name,years.appearing,count.male,count.female,prob.gender,obs.male,est.male,upper,lower
J,15,87,0,Male,1,1,1.00844022260196,0.949272270453915
J-jay,5,18,0,Male,1,1,1.03083164145996,0.793289134893386
J-kwon,1,4,0,Male,1,1,1.05605943068294,0.454049732862461
J.,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
J'nai,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
J'quan,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
J'ziah,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Jaabir,6,22,0,Male,1,1,1.02680555394299,0.824539571448393
Jaafar,2,6,0,Male,1,1,1.05244648969589,0.557219222401941
Jaafer,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Jaagruti,1,0,1,Female,0,0,1.03904982889782,0.167499485479413
Jaan,7,32,0,Male,1,1,1.0201388771232,0.872681924621729
Jaanvi,4,0,13,Female,0,0,1.03776450540099,0.734140122244815
Jaaziah,2,6,0,Male,1,1,1.05244648969589,0.557219222401941
Jabar,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Jabari,7,34,0,Male,1,1,1.01917891017431,0.879306535672362
Jabbar,3,11,0,Male,1,1,1.04135282225748,0.699814210774485
Jabe,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Jabed,5,17,0,Male,1,1,1.03202273223858,0.783659132752567
Jabeen,2,0,6,Female,0,0,1.05244648969589,0.557219222401941
Jaber,9,35,0,Male,1,1,1.01873201951779,0.882366988157803
Jabez,10,47,0,Male,1,1,1.01462956650744,0.909812829328562
Jabir,14,123,0,Male,1,1,1.00610957510908,0.96360491054561
Jabou,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Jabraan,3,9,0,Male,1,1,1.04549522023528,0.655359731345175
Jabran,3,9,0,Male,1,1,1.04549522023528,0.655359731345175
Jabreel,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Jabriil,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Jabril,11,69,0,Male,1,1,1.01042730468112,0.936835437129825
Jac,17,1726,0,Male,1,1,1.00045904999833,0.997320250063475
Jaccob,3,8,0,Male,1,1,1.04776037949305,0.627832055623071
Jace,16,330,6,Male,0.982142857142857,0.982142857142857,0.992733938771812,0.960651799167089
Jacee,3,0,9,Female,0,0,1.04549522023528,0.655359731345175
Jacek,8,65,0,Male,1,1,1.01100253233371,0.933195936343431
Jacelyn,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Jacen,3,7,0,Male,1,1,1.05010879551787,0.59556076941544
Jacey,17,43,222,Unknown,0.162264150943396,0.162264150943396,0.877503741455136,0.788316183734994
Jacey-leigh,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Jachym,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Jaci,1,0,4,Female,0,0,1.05605943068294,0.454049732862462
Jacie,10,0,46,Female,0,0,1.01490202817531,0.908024408739109
Jacinda,1,0,6,Female,0,0,1.05244648969589,0.557219222401941
Jacinta,16,0,124,Female,0,0,1.00606305284217,0.963888331817149
Jacintha,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Jack,17,150926,0,Male,1,1,1.00000527115698,0.999969276892738
Jack-daniel,3,10,0,Male,1,1,1.04335450588766,0.679112694249454
Jack-dean,1,4,0,Male,1,1,1.05605943068294,0.454049732862461
Jack-james,6,54,0,Male,1,1,1.01296840129086,0.920618010618244
Jack-jay,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Jack-ryan,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Jackie,16,72,88,Unknown,0.45,0.45,0.625022504388735,0.472632876094114
Jackir,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Jackjames,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Jackob,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Jackson,17,4239,0,Male,1,1,1.00018736907134,0.998907233246943
Jackson-finley,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Jackson-james,3,10,0,Male,1,1,1.04335450588766,0.679112694249454
Jackson-thomas,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Jacksyn,2,1,1,Unknown,0.5,0.5,0.905468794265769,0.0945312057342307
Jacky,15,97,3,Male,0.97,0.97,0.993477944219004,0.91174816746643
Jaclyn,4,0,15,Female,0,0,1.03467981392105,0.761436885043099
Jaco,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Jacob,17,55792,0,Male,1,1,1.00001425814893,0.999916893372036
Jacob-dean,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Jacob-james,5,38,0,Male,1,1,1.01750688194436,0.890683249830061
Jacob-john,1,4,0,Male,1,1,1.05605943068294,0.454049732862461
Jacob-lee,4,15,0,Male,1,1,1.03467981392105,0.761436885043099
Jacob-scott,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Jacob-tristen,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Jacobe,1,4,0,Male,1,1,1.05605943068294,0.454049732862461
Jacobi,7,28,3,Male,0.903225806451613,0.903225806451613,0.974407011736471,0.743128959666403
Jacobo,2,4,0,Male,1,1,1.05605943068294,0.454049732862461
Jacobus,4,14,0,Male,1,1,1.03616388249591,0.748525314766452
Jacoby,4,43,0,Male,1,1,1.01578341117229,0.902206785601917
Jacopo,6,20,0,Male,1,1,1.02868440248967,0.810190439457511
Jacque,14,117,0,Male,1,1,1.00640441000768,0.96180634432959
Jacqueline,17,0,694,Female,0,0,1.00113471534573,0.993360511654415
Jacquelyn,4,0,14,Female,0,0,1.03616388249591,0.748525314766452
Jacques,17,631,0,Male,1,1,1.00124673632556,0.992702211451372
Jacques-kad,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Jacqui,4,0,15,Female,0,0,1.03467981392105,0.761436885043099
Jacsen,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Jacson,2,8,0,Male,1,1,1.04776037949305,0.627832055623071
Jacub,4,16,0,Male,1,1,1.03330254928781,0.773089770177758
Jacy,10,50,20,Unknown,0.714285714285714,0.714285714285714,0.807344600574456,0.598931229821144
Jad,16,140,0,Male,1,1,1.00540453059398,0.967889269036603
Jada,17,0,1291,Female,0,0,1.00061287562497,0.996420383702244
Jada-rose,2,0,6,Female,0,0,1.05244648969589,0.557219222401941
Jadah,4,0,14,Female,0,0,1.03616388249591,0.748525314766452
Jadaine,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Jadan,14,87,0,Male,1,1,1.00844022260196,0.949272270453915
Jade,17,31,19193,Female,0.00161256762380358,0.00161256762380358,0.998872221001,0.997703501814184
Jade-lee,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Jade-lilly,1,0,1,Female,0,0,1.03904982889782,0.167499485479413
Jade-louise,8,0,43,Female,0,0,1.01578341117229,0.902206785601917
Jade-marie,7,0,47,Female,0,0,1.01462956650744,0.909812829328562
Jadealeigh,1,0,1,Female,0,0,1.03904982889782,0.167499485479413
Jadean,2,0,6,Female,0,0,1.05244648969589,0.557219222401941
Jadeen,2,0,7,Female,0,0,1.05010879551787,0.59556076941544
Jaden,17,2896,211,Male,0.932088831670422,0.932088831670422,0.940428527663814,0.922681995820681
Jaden-james,1,4,0,Male,1,1,1.05605943068294,0.454049732862461
Jaden-lee,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Jadene,7,0,59,Female,0,0,1.01199460177782,0.926876027695395
Jadesola,16,0,112,Female,0,0,1.00667273039082,0.960165922542232
Jadey,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Jadia,1,0,1,Female,0,0,1.03904982889782,0.167499485479413
Jadie,13,0,85,Female,0,0,1.00862287327457,0.948137642911382
Jadine,10,0,66,Female,0,0,1.01085287495175,0.934144568034709
Jadon,16,321,0,Male,1,1,1.002424412532,0.985749945400508
Jadore,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Jadwiga,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Jadyn,13,81,55,Unknown,0.595588235294118,0.595588235294118,0.674388015064285,0.511536818810177
Jadyn-rose,1,0,1,Female,0,0,1.03904982889782,0.167499485479413
Jadzia,13,0,87,Female,0,0,1.00844022260196,0.949272270453916
