Name,years.appearing,count.male,count.female,prob.gender,obs.male,est.male,upper,lower
L-jay,3,7,0,Male,1,1,1.05010879551787,0.59556076941544
L'mar,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
L'shae,2,0,8,Female,0,0,1.04776037949305,0.627832055623072
La,11,0,50,Female,0,0,1.0138685214446,0.914783879422043
La',1,0,3,Female,0,0,1.05597453703631,0.382528431208642
La'kai,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Laaiba,10,0,58,Female,0,0,1.01217753333152,0.925704610881274
Laaibah,10,0,394,Female,0,0,1.00198327044134,0.988360976656285
Laaiqah,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Laana,1,0,4,Female,0,0,1.05605943068294,0.454049732862462
Laarni,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Laasya,3,0,12,Female,0,0,1.03949131523292,0.718014678111836
Laban,2,6,0,Male,1,1,1.05244648969589,0.557219222401941
Labbayka,1,0,1,Female,0,0,1.03904982889782,0.167499485479413
Labeeb,4,21,0,Male,1,1,1.02771445470298,0.817646526372173
Labeeba,2,0,6,Female,0,0,1.05244648969589,0.557219222401941
Labeebah,3,0,11,Female,0,0,1.04135282225748,0.699814210774485
Labeena,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Labib,12,57,0,Male,1,1,1.01236610687025,0.924495058276776
Labiba,13,0,74,Female,0,0,1.00978746281999,0.940862757783621
Labibah,11,0,43,Female,0,0,1.01578341117229,0.902206785601917
Lacatus,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Lace,7,0,41,Female,0,0,1.01643078408833,0.897901645727241
Lacee,8,0,64,Female,0,0,1.01115636084088,0.932219579366318
Lacee-k,1,0,1,Female,0,0,1.03904982889782,0.167499485479413
Lacee-mae,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Laceigh,1,0,4,Female,0,0,1.05605943068294,0.454049732862462
Lacey,17,0,9135,Female,0,0,1.00008702489397,0.999492630925866
Lacey-,5,0,20,Female,0,0,1.02868440248967,0.810190439457511
Lacey-ann,5,0,17,Female,0,0,1.03202273223858,0.783659132752567
Lacey-anne,4,0,17,Female,0,0,1.03202273223858,0.783659132752567
Lacey-grace,3,0,11,Female,0,0,1.04135282225748,0.699814210774485
Lacey-jade,4,0,16,Female,0,0,1.03330254928781,0.773089770177758
Lacey-jai,1,0,6,Female,0,0,1.05244648969589,0.557219222401941
Lacey-jane,5,0,39,Female,0,0,1.017133005255,0.893200141037433
Lacey-jay,4,0,15,Female,0,0,1.03467981392105,0.761436885043099
Lacey-jayne,4,0,26,Female,0,0,1.02368252405846,0.847588554082327
Lacey-jo,6,0,40,Female,0,0,1.01677461680296,0.895603781999753
Lacey-kay,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Lacey-lea,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Lacey-lee,5,0,16,Female,0,0,1.03330254928781,0.773089770177758
Lacey-leigh,7,0,84,Female,0,0,1.00871718984614,0.947551081739203
Lacey-lily,1,0,1,Female,0,0,1.03904982889782,0.167499485479413
Lacey-lou,4,0,31,Female,0,0,1.02065523580291,0.869089368736657
Lacey-louise,5,0,41,Female,0,0,1.01643078408833,0.897901645727241
