Name,years.appearing,count.male,count.female,prob.gender,obs.male,est.male,upper,lower
R-jay,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Ra'ees,4,17,0,Male,1,1,1.03202273223858,0.783659132752567
Ra'eesah,7,0,23,Female,0,0,1.02595241573026,0.830930965819318
Ra'id,2,8,0,Male,1,1,1.04776037949305,0.627832055623071
Ra'nell,1,5,0,Male,1,1,1.05457239484969,0.51094514036714
Raabia,7,0,31,Female,0,0,1.02065523580291,0.869089368736657
Raabiah,5,0,19,Female,0,0,1.02972128304972,0.802099492897666
Raabiya,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Raadhiya,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Raadhiyah,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Raadiya,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Raadiyah,2,0,6,Female,0,0,1.05244648969589,0.557219222401941
Raafay,3,10,0,Male,1,1,1.04335450588766,0.679112694249454
Raafi,1,5,0,Male,1,1,1.05457239484969,0.51094514036714
Raaghav,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Raahi,2,0,7,Female,0,0,1.05010879551787,0.59556076941544
Raahil,7,43,0,Male,1,1,1.01578341117229,0.902206785601917
Raahim,4,14,0,Male,1,1,1.03616388249591,0.748525314766452
Raahima,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Raahul,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Raaid,2,6,0,Male,1,1,1.05244648969589,0.557219222401941
Raaina,1,0,4,Female,0,0,1.05605943068294,0.454049732862462
Raaj,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Raajan,5,21,0,Male,1,1,1.02771445470298,0.817646526372173
Raakhi,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Raameen,4,0,18,Female,0,0,1.03083164145996,0.793289134893386
Raania,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Raaniya,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Raayn,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Raazia,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Rab,2,4,0,Male,1,1,1.05605943068294,0.454049732862461
Rabab,8,0,26,Female,0,0,1.02368252405846,0.847588554082327
Rabah,1,4,0,Male,1,1,1.05605943068294,0.454049732862461
Rabail,3,0,11,Female,0,0,1.04135282225748,0.699814210774485
Rabbi,2,7,0,Male,1,1,1.05010879551787,0.59556076941544
Rabbia,1,0,4,Female,0,0,1.05605943068294,0.454049732862462
Rabbie,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Rabeea,3,0,11,Female,0,0,1.04135282225748,0.699814210774485
Rabeeah,4,0,15,Female,0,0,1.03467981392105,0.761436885043099
Rabeya,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Rabi,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Rabia,17,0,579,Female,0,0,1.00135733775354,0.99205174671951
Rabiah,14,0,134,Female,0,0,1.0056340140097,0.966497310966402
Rabiatou,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Rabiha,2,0,6,Female,0,0,1.05244648969589,0.557219222401941
Rabina,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Rabiya,15,0,114,Female,0,0,1.00656275140054,0.960838714440619
Rabiyah,1,0,5,Female,0,0,1.05457239484969,0.51094514036714
Rabya,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Rachael,17,0,5024,Female,0,0,1.0001581341189,0.99907782850002
Rachal,2,0,7,Female,0,0,1.05010879551787,0.59556076941544
Rachana,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Rachata,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Racheal,17,0,223,Female,0,0,1.00345645723377,0.979608989265012
Rachel,17,0,19403,Female,0,0,1.00004098852202,0.999761067941991
Rachel-louise,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Rachele,5,0,18,Female,0,0,1.03083164145996,0.793289134893386
Rachelle,16,0,188,Female,0,0,1.00407607392495,0.97589979341724
Rachid,1,5,0,Male,1,1,1.05457239484969,0.51094514036714
Rachit,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Rachna,2,0,6,Female,0,0,1.05244648969589,0.557219222401941
Racine,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Racquel,2,0,6,Female,0,0,1.05244648969589,0.557219222401941
