Name,years.appearing,count.male,count.female,prob.gender,obs.male,est.male,upper,lower
Ubah,4,0,14,Female,0,0,1.03616388249591,0.748525314766452
Ubaid,17,237,0,Male,1,1,1.00325832211419,0.980791521963721
Ubaidah,2,7,0,Male,1,1,1.05010879551787,0.59556076941544
Ubaidullah,12,56,0,Male,1,1,1.01256058615218,0.923245477129057
Ubay,1,4,0,Male,1,1,1.05605943068294,0.454049732862461
Ubayd,11,86,0,Male,1,1,1.0085305721243,0.948711230589953
Ubaydah,3,10,0,Male,1,1,1.04335450588766,0.679112694249454
Ubaydullah,11,48,0,Male,1,1,1.01436682751797,0.911533042815908
Ubhay,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Uche,1,4,0,Male,1,1,1.05605943068294,0.454049732862461
Uchechi,3,0,10,Female,0,0,1.04335450588766,0.679112694249454
Uchechukwu,7,33,5,Unknown,0.868421052631579,0.868421052631579,0.947174862821039,0.722017865854846
Uchenna,11,35,13,Unknown,0.729166666666667,0.729166666666667,0.835428435723154,0.588942338179876
Uday,5,22,0,Male,1,1,1.02680555394299,0.824539571448393
Udaysah,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Udham,2,8,0,Male,1,1,1.04776037949305,0.627832055623071
Udip,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Udit,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Udochukwu,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Udonna,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Ufuk,2,6,0,Male,1,1,1.05244648969589,0.557219222401941
Ufuoma,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Ugbad,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Ugne,8,0,109,Female,0,0,1.00684478064908,0.959112245599596
Ugnius,4,27,0,Male,1,1,1.02300960269013,0.852435367568002
Ugo,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Ugochi,5,0,18,Female,0,0,1.03083164145996,0.793289134893386
Ugochukwu,10,51,0,Male,1,1,1.0136320395752,0.916321340526268
Ugonna,5,18,6,Unknown,0.75,0.75,0.88309487436373,0.54791702329878
Ugur,15,76,0,Male,1,1,1.00955293513807,0.942333479796788
Ugurcan,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Uilleam,1,2,0,Male,1,1,1.05215297529068,0.290227252215969
Uisce,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
