Name,years.appearing,count.male,count.female,prob.gender,obs.male,est.male,upper,lower
O'nam,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
O'neil,4,12,0,Male,1,1,1.03949131523292,0.718014678111836
O'neill,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
O'shai,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
O'shay,2,6,0,Male,1,1,1.05244648969589,0.557219222401941
O'shea,9,40,0,Male,1,1,1.01677461680296,0.895603781999754
Oak,8,32,0,Male,1,1,1.0201388771232,0.872681924621729
Oaklan,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Oaklee,3,14,0,Male,1,1,1.03616388249591,0.748525314766452
Oakleigh,7,22,17,Unknown,0.564102564102564,0.564102564102564,0.707053624993392,0.409655752736407
Oaklen,2,5,0,Male,1,1,1.05457239484969,0.51094514036714
Oakley,17,1518,42,Male,0.973076923076923,0.973076923076923,0.980103343248483,0.963726347206881
Oakley-jay,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Oakly,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Oana,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Oarryn,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Oasis,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Obada,2,2,0,Male,1,1,1.05215297529068,0.290227252215969
Obadiah,6,24,0,Male,1,1,1.02515029757606,0.836873497748962
Obafemi,3,7,0,Male,1,1,1.05010879551787,0.59556076941544
Obaid,10,44,0,Male,1,1,1.01547834165126,0.904226054590256
Obaidullah,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Obaloluwa,3,12,0,Male,1,1,1.03949131523292,0.718014678111836
Oban,7,33,0,Male,1,1,1.01964734085817,0.876082661599378
Obaro,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Obead,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Obed,14,60,0,Male,1,1,1.01181706384686,0.928011084011049
Obehi,3,0,11,Female,0,0,1.04135282225748,0.699814210774485
Oberon,2,6,0,Male,1,1,1.05244648969589,0.557219222401941
Obi,14,93,0,Male,1,1,1.00793585566194,0.952396641726329
Obiaghanwa,1,0,1,Female,0,0,1.03904982889782,0.167499485479413
Obiajulu,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Obianuju,2,0,7,Female,0,0,1.05010879551787,0.59556076941544
Obie,9,63,0,Male,1,1,1.01131453662976,0.931214263781391
Obieze,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Obinna,16,108,0,Male,1,1,1.00690411721454,0.958748523038902
Obrigado,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Obyda,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Occeanna-lake,1,0,1,Female,0,0,1.03904982889782,0.167499485479413
Ocea,3,0,12,Female,0,0,1.03949131523292,0.718014678111836
Ocean,17,165,724,Unknown,0.185601799775028,0.185601799775028,0.83861877138574,0.787472226604376
Ocean-blu,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Ocean-lee,1,0,1,Female,0,0,1.03904982889782,0.167499485479413
Oceana,10,0,44,Female,0,0,1.01547834165126,0.904226054590256
Oceane,11,0,56,Female,0,0,1.01256058615218,0.923245477129057
Oceanna,4,0,14,Female,0,0,1.03616388249591,0.748525314766452
Oceanne,3,0,9,Female,0,0,1.04549522023528,0.655359731345175
Oche,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Ochriel,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Octavia,17,0,311,Female,0,0,1.00250060417792,0.98529814750147
Octavian,4,20,0,Male,1,1,1.02868440248967,0.810190439457511
Octavio,3,7,0,Male,1,1,1.05010879551787,0.59556076941544
Octavius,1,4,0,Male,1,1,1.05605943068294,0.454049732862461
Odafe,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Odafeoghene,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Odelia,6,0,25,Female,0,0,1.0243949420667,0.842412806994256
Oden,5,13,0,Male,1,1,1.03776450540099,0.734140122244815
Oden-hedley,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Odera,1,5,0,Male,1,1,1.05457239484969,0.51094514036714
Odessa,5,0,16,Female,0,0,1.03330254928781,0.773089770177758
Odette,13,0,80,Female,0,0,1.00911598770442,0.945065882760049
Odhran,17,1015,0,Male,1,1,1.00077836501381,0.995451216352908
Odiamehi,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Odile,3,0,8,Female,0,0,1.04776037949305,0.627832055623072
Odilia,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Odilon,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Odin,17,170,0,Male,1,1,1.00448997913863,0.973412537057718
Odinakachukwu,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Odran,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Oduname,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Odunayo,2,3,5,Unknown,0.375,0.375,0.86514164843276,0.30375646034627
Odysseas,3,11,0,Male,1,1,1.04135282225748,0.699814210774485
Odysseus,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Oenone,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Ofelia,7,0,38,Female,0,0,1.01750688194436,0.89068324983006
Ofodire,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Ofure,2,0,6,Female,0,0,1.05244648969589,0.557219222401941
