Name,years.appearing,count.male,count.female,prob.gender,obs.male,est.male,upper,lower
T,13,125,0,Male,1,1,1.00601723313431,0.964167373157361
T-jay,15,184,0,Male,1,1,1.00416132271048,0.975388139666932
T.,2,9,0,Male,1,1,1.04549522023528,0.655359731345175
T.j.,3,10,0,Male,1,1,1.04335450588766,0.679112694249454
T'jay,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
T'keyah,2,0,7,Female,0,0,1.05010879551787,0.59556076941544
T'yanna,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Taaha,12,67,0,Male,1,1,1.01070722189196,0.935066638716736
Taahir,6,22,0,Male,1,1,1.02680555394299,0.824539571448393
Taahira,2,0,6,Female,0,0,1.05244648969589,0.557219222401941
Taaibah,4,0,14,Female,0,0,1.03616388249591,0.748525314766452
Taaliah,2,0,6,Female,0,0,1.05244648969589,0.557219222401941
Taalib,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Taaliyah,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Taaniya,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Taara,1,0,4,Female,0,0,1.05605943068294,0.454049732862462
Taariq,7,28,0,Male,1,1,1.02237307833611,0.856983616898048
Taaseen,5,17,0,Male,1,1,1.03202273223858,0.783659132752567
Taavi,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Taayhan,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Taban,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Tabasam,1,0,4,Female,0,0,1.05605943068294,0.454049732862462
Tabasom,2,0,9,Female,0,0,1.04549522023528,0.655359731345175
Tabassam,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Tabassum,16,0,148,Female,0,0,1.00512611870621,0.969574738026003
Tabasum,8,0,30,Female,0,0,1.02119830296566,0.865288303860374
Tabatha,17,0,290,Female,0,0,1.00267729353385,0.984249470183863
Tabbitha,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Tabetha,14,0,67,Female,0,0,1.01070722189196,0.935066638716736
Tabinda,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Tabish,3,10,0,Male,1,1,1.04335450588766,0.679112694249454
Tabita,5,0,21,Female,0,0,1.02771445470298,0.817646526372173
Tabitha,17,0,3835,Female,0,0,1.00020707094875,0.998792247240887
Tacita,2,0,7,Female,0,0,1.05010879551787,0.59556076941544
Tacy,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Tadas,6,26,0,Male,1,1,1.02368252405846,0.847588554082327
Tadeas,2,6,0,Male,1,1,1.05244648969589,0.557219222401941
Tadeusz,6,27,0,Male,1,1,1.02300960269013,0.852435367568002
Tadgh,11,41,0,Male,1,1,1.01643078408833,0.897901645727241
Tadhg,17,306,0,Male,1,1,1.00254052427234,0.985061332382621
Tadisa,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Tadiwa,13,84,36,Unknown,0.7,0.7,0.774973787961984,0.612618545470534
Tadiwanashe,12,69,25,Unknown,0.734042553191489,0.734042553191489,0.813343459826356,0.636363653398878
Tae,9,38,11,Unknown,0.775510204081633,0.775510204081633,0.87136659124406,0.639595834899748
Taegan,10,4,40,Female,0.0909090909090909,0.0909090909090909,0.969555995427278,0.782929419679419
Taeja,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Taejah,7,0,26,Female,0,0,1.02368252405846,0.847588554082327
Taejon,2,6,0,Male,1,1,1.05244648969589,0.557219222401941
Taela,5,0,29,Female,0,0,1.02177015430911,0.861260047191147
Taelan,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Taelen,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Taelor,4,6,7,Unknown,0.461538461538462,0.461538461538462,0.768063966129035,0.291313312920642
Taesan,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Taesha,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Taevon,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Taeya,3,0,9,Female,0,0,1.04549522023528,0.655359731345175
Taeyon,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Tafadzwa,9,40,20,Unknown,0.666666666666667,0.666666666666667,0.773113851819576,0.540162197466394
Tafara,10,55,10,Unknown,0.846153846153846,0.846153846153846,0.916221900855444,0.737453962074886
Tafari,16,121,0,Male,1,1,1.00620479289898,0.963024509153541
Tafheem,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Taha,17,588,3,Male,0.99492385786802,0.99492385786802,0.999006429310408,0.984448895339953
Tahaa,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Tahaani,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Tahani,12,0,84,Female,0,0,1.00871718984614,0.947551081739203
Tahar,2,4,0,Male,1,1,1.05605943068294,0.454049732862461
Taheed,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Taheem,5,35,0,Male,1,1,1.01873201951779,0.882366988157803
Taheim,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Taher,14,83,0,Male,1,1,1.0088135884368,0.946951101921225
Tahera,16,0,102,Female,0,0,1.0072828972502,0.956422640603335
Taherah,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Tahia,9,0,39,Female,0,0,1.017133005255,0.893200141037433
Tahiba,3,0,10,Female,0,0,1.04335450588766,0.679112694249454
Tahir,17,278,0,Male,1,1,1.00278993936028,0.983580203496746
Tahira,17,0,314,Female,0,0,1.00247724860702,0.985436666604203
Tahirah,17,0,124,Female,0,0,1.00606305284217,0.963888331817149
Tahirul,1,4,0,Male,1,1,1.05605943068294,0.454049732862461
Tahiya,15,0,117,Female,0,0,1.00640441000768,0.96180634432959
Tahiyah,12,0,52,Female,0,0,1.01340344539561,0.917804318480525
Tahiyat,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Tahiyya,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Tahj,3,11,0,Male,1,1,1.04135282225748,0.699814210774485
Tahla,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Tahleah,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Tahlia,17,0,692,Female,0,0,1.0011379613028,0.993341443780073
Tahlia-rose,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Tahliah,2,0,6,Female,0,0,1.05244648969589,0.557219222401941
Tahlil,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Tahliya,2,0,6,Female,0,0,1.05244648969589,0.557219222401941
