Name,years.appearing,count.male,count.female,prob.gender,obs.male,est.male,upper,lower
Vaani,2,0,10,Female,0,0,1.04335450588766,0.679112694249454
Vaanika,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Vaclav,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Vada,3,0,9,Female,0,0,1.04549522023528,0.655359731345175
Vaden,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Vadim,6,28,0,Male,1,1,1.02237307833611,0.856983616898048
Vahid,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Vahini,3,0,9,Female,0,0,1.04549522023528,0.655359731345175
Vahit,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Vaibhav,5,18,0,Male,1,1,1.03083164145996,0.793289134893386
Vaibhavi,2,0,6,Female,0,0,1.05244648969589,0.557219222401941
Vaidehi,6,0,28,Female,0,0,1.02237307833611,0.856983616898048
Vaishali,11,0,51,Female,0,0,1.0136320395752,0.916321340526268
Vaishnavi,13,0,80,Female,0,0,1.00911598770442,0.945065882760049
Vakare,4,0,21,Female,0,0,1.02771445470298,0.817646526372173
Vakaris,5,34,0,Male,1,1,1.01917891017431,0.879306535672362
Vakkas,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Valdemar,2,7,0,Male,1,1,1.05010879551787,0.59556076941544
Valdemars,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Valen,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Valencia,8,0,35,Female,0,0,1.01873201951779,0.882366988157802
Valente,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Valentin,13,94,0,Male,1,1,1.00785758841732,0.952880335291131
Valentina,17,0,795,Female,0,0,1.00099184217853,0.994199370322678
Valentine,15,98,65,Unknown,0.601226993865031,0.601226993865031,0.673266705638487,0.524525858831147
Valentino,15,333,0,Male,1,1,1.0023388944761,0.986256752763575
Valeria,16,0,128,Female,0,0,1.00588383387596,0.964979209850536
Valerian,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Valerie,17,0,321,Female,0,0,1.002424412532,0.985749945400508
Valerija,4,0,24,Female,0,0,1.02515029757606,0.836873497748962
Valerio,2,4,0,Male,1,1,1.05605943068294,0.454049732862461
Valeriya,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Valery,1,0,8,Female,0,0,1.04776037949305,0.627832055623072
Valmir,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Valter,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Valters,1,4,0,Male,1,1,1.05605943068294,0.454049732862461
Van,6,18,3,Unknown,0.857142857142857,0.857142857142857,0.958643796367523,0.645185475829015
Vance,3,7,0,Male,1,1,1.05010879551787,0.59556076941544
Vanda,2,0,6,Female,0,0,1.05244648969589,0.557219222401941
Vandana,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Vaneesha,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Vaneeza,6,0,27,Female,0,0,1.02300960269013,0.852435367568002
Vanesa,11,0,237,Female,0,0,1.00325832211419,0.980791521963721
Vanessa,17,0,2462,Female,0,0,1.00032221619275,0.998119914461288
Vani,5,0,21,Female,0,0,1.02771445470298,0.817646526372173
Vania,11,0,59,Female,0,0,1.01199460177782,0.926876027695395
Vanisha,14,0,78,Female,0,0,1.00932935939332,0.943732830894487
Vanita,1,0,4,Female,0,0,1.05605943068294,0.454049732862462
Vansh,10,96,0,Male,1,1,1.00770558922391,0.953818822918413
Vanshi,1,0,6,Female,0,0,1.05244648969589,0.557219222401941
Vanshika,10,0,41,Female,0,0,1.01643078408833,0.897901645727241
Vanya,7,1,26,Female,0.037037037037037,0.037037037037037,1.00863533920082,0.801961855482637
Varandeep,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Varin,2,0,7,Female,0,0,1.05010879551787,0.59556076941544
Varinder,2,3,3,Unknown,0.5,0.5,0.812383693517349,0.187616306482651
Varisha,4,0,15,Female,0,0,1.03467981392105,0.761436885043099
Varsha,13,0,81,Female,0,0,1.00901291303138,0.945709001536201
Varshan,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Varshini,4,0,13,Female,0,0,1.03776450540099,0.734140122244815
Varun,17,235,0,Male,1,1,1.00328522522835,0.980631056142308
Varvara,2,0,7,Female,0,0,1.05010879551787,0.59556076941544
Vasco,4,15,0,Male,1,1,1.03467981392105,0.761436885043099
Vasil,3,8,0,Male,1,1,1.04776037949305,0.627832055623071
Vasile,8,37,0,Male,1,1,1.01789725940812,0.888044914754675
Vasileios,2,8,0,Male,1,1,1.04776037949305,0.627832055623071
Vasiliki,4,0,14,Female,0,0,1.03616388249591,0.748525314766452
Vasilis,4,13,0,Male,1,1,1.03776450540099,0.734140122244815
Vasilisa,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Vassilios,2,4,0,Male,1,1,1.05605943068294,0.454049732862461
Vatandavara,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Vaughan,17,229,0,Male,1,1,1.00336866719729,0.980133159152064
Vaughn,17,158,0,Male,1,1,1.00481598137635,0.971448080695968
Vayun,1,5,0,Male,1,1,1.05457239484969,0.51094514036714
Ved,9,88,0,Male,1,1,1.00835176357281,0.949821169762296
Veda,5,0,22,Female,0,0,1.02680555394299,0.824539571448392
Vedanshi,2,0,7,Female,0,0,1.05010879551787,0.59556076941544
Vedant,7,65,0,Male,1,1,1.01100253233371,0.933195936343431
Vedanth,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Vedat,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Vedika,6,0,35,Female,0,0,1.01873201951779,0.882366988157802
Veena,8,0,24,Female,0,0,1.02515029757606,0.836873497748962
Veer,15,426,0,Male,1,1,1.00183676207371,0.989226317715679
Veera,3,1,9,Unknown,0.1,0.1,1.00394149750452,0.574032262605168
Veeraj,3,8,0,Male,1,1,1.04776037949305,0.627832055623071
Veeran,5,24,0,Male,1,1,1.02515029757606,0.836873497748962
Veerpartap,1,4,0,Male,1,1,1.05605943068294,0.454049732862461
Vega,4,0,16,Female,0,0,1.03330254928781,0.773089770177758
Vegas,4,7,3,Unknown,0.7,0.7,0.896661582077575,0.39232529797727
Vejas,2,7,0,Male,1,1,1.05010879551787,0.59556076941544
Veli,2,6,0,Male,1,1,1.05244648969589,0.557219222401941
Velizar,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Velvet,14,0,60,Female,0,0,1.01181706384686,0.928011084011049
Vena,2,0,6,Female,0,0,1.05244648969589,0.557219222401941
Venera,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Venesa,1,0,4,Female,0,0,1.05605943068294,0.454049732862462
Venessa,6,0,28,Female,0,0,1.02237307833611,0.856983616898048
Venetia,14,0,105,Female,0,0,1.0070884567492,0.957617466321689
Venice,10,0,46,Female,0,0,1.01490202817531,0.908024408739109
Venisha,3,0,10,Female,0,0,1.04335450588766,0.679112694249454
Venita,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Venkata,6,18,0,Male,1,1,1.03083164145996,0.793289134893386
Venus,16,0,158,Female,0,0,1.00481598137635,0.971448080695968
Venya,3,0,9,Female,0,0,1.04549522023528,0.655359731345175
Vera,15,0,178,Female,0,0,1.00429609563569,0.974578585388061
Vere,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Verena,3,0,10,Female,0,0,1.04335450588766,0.679112694249454
Verity,17,0,1928,Female,0,0,1.00041113181591,0.997600372283891
Vernon,16,82,0,Male,1,1,1.00891213860415,0.946337237705754
Veron,7,25,0,Male,1,1,1.0243949420667,0.842412806994256
Verona,7,0,30,Female,0,0,1.02119830296566,0.865288303860374
Veronica,17,0,745,Female,0,0,1.00105777575712,0.99381235492883
Veronika,14,0,216,Female,0,0,1.00356484190828,0.978961389307153
Veronique,10,0,33,Female,0,0,1.01964734085817,0.876082661599378
Verrall,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Vesa,5,0,21,Female,0,0,1.02771445470298,0.817646526372173
Vesper,4,0,28,Female,0,0,1.02237307833611,0.856983616898048
Vesta,5,0,30,Female,0,0,1.02119830296566,0.865288303860374
Vestina,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Vi,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Viaan,1,10,0,Male,1,1,1.04335450588766,0.679112694249454
Vialli,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Vian,2,6,0,Male,1,1,1.05244648969589,0.557219222401941
Viana,2,0,7,Female,0,0,1.05010879551787,0.59556076941544
Vianna,3,0,12,Female,0,0,1.03949131523292,0.718014678111836
Vianne,4,0,14,Female,0,0,1.03616388249591,0.748525314766452
Vibha,2,0,7,Female,0,0,1.05010879551787,0.59556076941544
Vibhav,2,5,0,Male,1,1,1.05457239484969,0.51094514036714
Vibhuti,2,0,7,Female,0,0,1.05010879551787,0.59556076941544
Vicente,7,24,0,Male,1,1,1.02515029757606,0.836873497748962
Vicenzo,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Vicki,11,0,105,Female,0,0,1.0070884567492,0.957617466321689
Vickie,7,0,29,Female,0,0,1.02177015430911,0.861260047191147
Vicky,17,0,317,Female,0,0,1.00245432522545,0.98557259986455
Victoire,3,0,12,Female,0,0,1.03949131523292,0.718014678111836
Victor,17,1861,0,Male,1,1,1.00042587692556,0.997514184519059
Victoria,17,0,14445,Female,0,0,1.00005505020061,0.999679083582252
Victoria-louise,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Victorine,1,0,4,Female,0,0,1.05605943068294,0.454049732862462
Victorious,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Victory,10,31,57,Unknown,0.352272727272727,0.352272727272727,0.739623363628918,0.543473184856455
Vida,9,0,40,Female,0,0,1.01677461680296,0.895603781999753
Vidal,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Vidath,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Vidhi,12,0,100,Female,0,0,1.00741855292712,0.95558794886589
Vidhun,2,4,0,Male,1,1,1.05605943068294,0.454049732862461
Vidhya,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Vidisha,2,0,6,Female,0,0,1.05244648969589,0.557219222401941
Vidur,2,6,0,Male,1,1,1.05244648969589,0.557219222401941
Vidya,6,0,23,Female,0,0,1.02595241573026,0.830930965819318
Vienna,17,0,377,Female,0,0,1.00207102921584,0.987842204410061
Vienna-rose,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Viera,1,0,4,Female,0,0,1.05605943068294,0.454049732862462
Viet,10,50,0,Male,1,1,1.0138685214446,0.914783879422043
Vigan,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Viggo,9,68,0,Male,1,1,1.01056541509481,0.935963248385124
Vighnesh,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Vignesh,5,18,0,Male,1,1,1.03083164145996,0.793289134893386
Vigo,2,8,0,Male,1,1,1.04776037949305,0.627832055623071
Viha,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Vihaan,7,150,0,Male,1,1,1.00506093815037,0.969968817481557
Vihan,3,10,0,Male,1,1,1.04335450588766,0.679112694249454
Vijay,17,154,0,Male,1,1,1.0049354238393,0.970727124838368
Vijayagopal,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Vikaash,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Vikas,4,15,0,Male,1,1,1.03467981392105,0.761436885043099
Vikash,5,22,0,Male,1,1,1.02680555394299,0.824539571448393
Vikesh,8,44,0,Male,1,1,1.01547834165126,0.904226054590256
Vikita,2,0,6,Female,0,0,1.05244648969589,0.557219222401941
Vikki,11,0,103,Female,0,0,1.00721691070304,0.956828331068317
Vikram,17,195,0,Male,1,1,1.00393499950784,0.976745795918437
Vikramjit,2,6,0,Male,1,1,1.05244648969589,0.557219222401941
Viktor,16,238,0,Male,1,1,1.00324503508108,0.980870761939721
Viktoras,2,6,0,Male,1,1,1.05244648969589,0.557219222401941
Viktoria,15,0,287,Female,0,0,1.00270459364756,0.984087320970558
Viktorija,8,0,119,Female,0,0,1.00630302283825,0.962425296919811
Viktors,1,4,0,Male,1,1,1.05605943068294,0.454049732862461
Vilho,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Vilius,6,22,0,Male,1,1,1.02680555394299,0.824539571448393
Villads,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Ville,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Villiam,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Villo,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Vilmos,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
