Name,years.appearing,count.male,count.female,prob.gender,obs.male,est.male,upper,lower
Waad,3,0,12,Female,0,0,1.03949131523292,0.718014678111836
Waail,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Waaris,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Waasil,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Wade,17,508,3,Male,0.99412915851272,0.99412915851272,0.998846588794885,0.982037897774559
Wadi,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Wadood,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Wadood'llah,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Wael,8,31,0,Male,1,1,1.02065523580291,0.869089368736657
Wafa,15,0,104,Female,0,0,1.00715210770905,0.957226537918496
Wafaa,6,0,22,Female,0,0,1.02680555394299,0.824539571448392
Wafah,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Wafi,3,12,0,Male,1,1,1.03949131523292,0.718014678111836
Wafiq,1,6,0,Male,1,1,1.05244648969589,0.557219222401941
Wagma,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Wahaab,2,6,0,Male,1,1,1.05244648969589,0.557219222401941
Wahab,10,55,0,Male,1,1,1.01276125153464,0.921953847348276
Wahaj,4,13,0,Male,1,1,1.03776450540099,0.734140122244815
Waheed,11,43,0,Male,1,1,1.01578341117229,0.902206785601917
Waheeda,5,0,24,Female,0,0,1.02515029757606,0.836873497748962
Wahhaj,2,6,0,Male,1,1,1.05244648969589,0.557219222401941
Wahiba,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Wahibah,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Wahid,14,65,0,Male,1,1,1.01100253233371,0.933195936343431
Wahida,15,0,126,Female,0,0,1.00597210020395,0.964442135313847
Wahidah,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Wahidul,1,4,0,Male,1,1,1.05605943068294,0.454049732862461
Wahidur,4,12,0,Male,1,1,1.03949131523292,0.718014678111836
Wai,11,46,32,Unknown,0.58974358974359,0.58974358974359,0.692260199798158,0.478802244612474
Wai-kit,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Wail,2,6,0,Male,1,1,1.05244648969589,0.557219222401941
Wain,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Wairumbi,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Wais,2,6,0,Male,1,1,1.05244648969589,0.557219222401941
Waiz,3,10,0,Male,1,1,1.04335450588766,0.679112694249454
Wajaahat,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Wajahat,9,41,0,Male,1,1,1.01643078408833,0.897901645727241
